Section,Metric,Response
Summary Information,Software name? (string),OMPL (Open Motion Planning Library)
Summary Information,URL? (URL),https://ompl.kavrakilab.org
Summary Information,Affiliation (institution(s)) (string or N/A),"Kavraki Lab, Rice University (lead development); Dr. Lydia Kavraki (PI), Dr. Mark Moll, Dr. Zachary Kingston, Dr. Ioan Șucan"
Summary Information,Software purpose (string),"Open-source C++ library for sampling-based motion planning algorithms; provides implementations of planners such as PRM, RRT, RRT*, EST, and many others; designed as a framework for motion planning research and integration into robotics software (e.g., MoveIt, OpenRAVE)"
Summary Information,Number of developers (all developers that have contributed at least one commit to the project) (use repo commit logs) (number),104
Summary Information,"How is the project funded? (unfunded, unclear, funded∗) where ∗ requires a string to say the source of funding",unclear
Summary Information,Initial release date? (date),2010
Summary Information,Last commit date? (date),2025-04
Summary Information,"Status? (alive is defined as presence of commits in the last 18 months) (alive, dead, unclear)",alive
Summary Information,"License? (GNU GPL, BSD, MIT, terms of use, trial, none, unclear, other∗) ∗ given via a string",bsd
Summary Information,"Platforms? (set of Windows, Linux, OS X, Android, other∗) ∗ given via string","Windows, Linux, OS X"
Summary Information,"Software Category? The concept category includes software that does not have an officially released version. Public software has a released version in the public domain. Private software has a released version available to authorized users only. (concept, public, private)",public
Summary Information,"Development model? (open source, freeware, commercial, unclear)",open source
Summary Information,Publications about the software? Refers to publications that have used or mentioned the software. (number or unknown),1
Summary Information,"Source code URL? (set of url, n/a, unclear)",https://github.com/ompl/ompl
Summary Information,"Programming language(s)? (set of FORTRAN, Matlab, C, C++, Java, R, Ruby, Python, Cython, BASIC, Pascal, IDL, unclear, other∗) ∗ given via string","C++, Python (Python bindings via Py++ code generation)"
Summary Information,"Is there evidence that performance was considered? Performance refers to either speed, storage, or throughput. (yes∗, no)",yes
Summary Information,"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)","OMPL is the de facto standard C++ motion planning library in academic robotics. It does not include a robot model or collision checking (by design); these must be provided by the user or an integrating framework (MoveIt, ROS, OpenRAVE). OMPL ships with an extensive benchmarking framework for comparing planners. Integrated into MoveIt as default motion planning backend. Latest release: OMPL 1.7.0 (April 7, 2025)."
,,
Installability (Measured via installation on a virtual machine.),"Are there installation instructions? (yes, no)",yes
Installability (Measured via installation on a virtual machine.),"Are the installation instructions in one place? Place referring to a single document or web-page. (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Are the installation instructions linear? Linear meaning progressing in a single series of steps. (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Are the instructions written as if the person doing the installation has none of the dependent packages installed? (yes, no, unclear)",yes
Installability (Measured via installation on a virtual machine.),"Are compatible operating system versions listed? (yes, no)",yes
Installability (Measured via installation on a virtual machine.),"Is there something in place to automate the installation (makefile, script, installer, etc)? (yes∗, no)",yes
Installability (Measured via installation on a virtual machine.),"If the software installation broke, was a descriptive error message displayed? (yes, no, n/a)",n/a
Installability (Measured via installation on a virtual machine.),"Is there a specified way to validate the installation? (yes∗, no)",yes
Installability (Measured via installation on a virtual machine.),"How many steps were involved in the installation? (Includes manual steps like unzipping files) Specify OS. (number, OS)","3, Linux"
