Section,Metric,Response
Summary Information,Software name? (string),Gazebo
Summary Information,URL? (URL),https://gazebosim.org
Summary Information,Affiliation (institution(s)) (string or N/A),Open Source Robotics Foundation (OSRF)
Summary Information,Software purpose (string),Open-source robotics simulator providing high-fidelity physics, rendering, and sensor models for robot simulation and testing
Summary Information,Number of developers (all developers that have contributed at least one commit to the project) (use repo commit logs) (number),152
Summary Information,"How is the project funded? (unfunded, unclear, funded∗) where ∗ requires a string to say the source of funding",funded (Open Source Robotics Foundation through contracts, grants, and donations from DARPA, NASA, Amazon, Bosch, Nvidia, Toyota Research Institute, and others)
Summary Information,Initial release date? (date),2012-04-15
Summary Information,Last commit date? (date),
Summary Information,Status? (alive is defined as presence of commits in the last 18 months) (alive, dead, unclear),alive
Summary Information,"License? (GNU GPL, BSD, MIT, terms of use, trial, none, unclear, other∗) ∗ given via a string",other (Apache-2.0)
Summary Information,"Platforms? (set of Windows, Linux, OS X, Android, other∗) ∗ given via string","Windows, Linux, OS X"
Summary Information,"Software Category? The concept category includes software that does not have an officially released version. Public software has a released version in the public domain. Private software has a released version available to authorized users only. (concept, public, private)",public
Summary Information,"Development model? (open source, freeware, commercial, unclear)",open source
Summary Information,Publications about the software? Refers to publications that have used or mentioned the software. (number or unknown),1
Summary Information,"Source code URL? (set of url, n/a, unclear)",https://github.com/gazebosim/gz-sim
Summary Information,"Programming language(s)? (set of FORTRAN, Matlab, C, C++, Java, R, Ruby, Python, Cython, BASIC, Pascal, IDL, unclear, other∗) ∗ given via string","C++, Python"
Summary Information,"Is there evidence that performance was considered? Performance refers to either speed, storage, or throughput. (yes∗, no)","yes (high-performance physics engines, optimized rendering with OGRE v2, efficient sensor simulation)"
Summary Information,Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have),"Development began in 2002 at USC. Gazebo Classic (original version) reached EOL January 2025. Current version is Gazebo (formerly Ignition), representing over 16 years of development. Latest release: Jetty (September 2025, LTS version). Maintainer: arjoc@intrinsic.ai"
,
Installability (Measured via installation on a virtual machine.),Are there installation instructions? (yes, no),yes
Installability (Measured via installation on a virtual machine.),"Are the installation instructions in one place? Place referring to a single document or web-page. (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Are the installation instructions linear? Linear meaning progressing in a single series of steps. (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Are the instructions written as if the person doing the installation has none of the dependent packages installed? (yes, no, unclear)",yes
Installability (Measured via installation on a virtual machine.),"Are compatible operating system versions listed? (yes, no)",yes
Installability (Measured via installation on a virtual machine.),"Is there something in place to automate the installation (makefile, script, installer, etc)? (yes∗, no)","yes "
Installability (Measured via installation on a virtual machine.),"If the software installation broke, was a descriptive error message displayed? (yes, no, n/a)", n/a
Installability (Measured via installation on a virtual machine.),"Is there a specified way to validate the installation? (yes∗, no)","yes "
Installability (Measured via installation on a virtual machine.),"How many steps were involved in the installation? (Includes manual steps like unzipping files) Specify OS. (number, OS)",2
Installability (Measured via installation on a virtual machine.),"What OS was used for the installation? (Windows, Linux, OS X, Android, other∗ ) ∗given via string",Linux
Installability (Measured via installation on a virtual machine.),How many extra software packages need to be installed before or during installation? (number),3
Installability (Measured via installation on a virtual machine.),"Are required package versions listed? (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Are there instructions for the installation of required packages / dependencies? (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Run uninstall, if available. Were any obvious problems caused? (yes∗ , no, unavail)",unavail
Installability (Measured via installation on a virtual machine.),Overall impression? (1 .. 10),10
Installability (Measured via installation on a virtual machine.),Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have),
,
Correctness and Verifiability,"Any reference to the requirements specifications of the program or theory manuals? (yes∗ , no, unclear)","yes (comprehensive documentation at gazebosim.org/docs, API documentation, physics engine documentation)"
Correctness and Verifiability,"What tools or techniques are used to build confidence of correctness? (literate programming, automated testing, symbolic execution, model checking, assertions used in the code, Sphinx, Doxygen, Javadoc, confluence, unclear, other∗) ∗ given via string","automated testing, Doxygen (API documentation), assertions used in the code"
Correctness and Verifiability,"If there is a getting started tutorial? (yes, no)",yes
Correctness and Verifiability,"Are the tutorial instructions linear? (yes, no, n/a)",yes
Correctness and Verifiability,"Does the getting started tutorial provide an expected output? (yes, no∗, n/a)","yes (includes example SDF worlds and expected simulation behaviors)"
Correctness and Verifiability,"Does your tutorial output match the expected output? (yes, no, n/a)",yes
Correctness and Verifiability,"Are unit tests available? (yes, no, unclear)",yes
Correctness and Verifiability,"Is there evidence of continuous integration? (for example mentioned in documentation, Jenkins, Travis CI, Bamboo, other) (yes∗, no, unclear)","yes (GitHub Actions CI/CD visible in repository)"
Correctness and Verifiability,Overall impression? (1 .. 10),10
Correctness and Verifiability,Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have),
,
Surface Reliability,"Did the software ""break"" during installation? (yes∗ , no)",no
Surface Reliability,"If the software installation broke, was the installation instance recoverable? (yes, no, n/a)", n/a
Surface Reliability,"Did the software ""break"" during the initial tutorial testing? (yes∗, no, n/a)", n/a
Surface Reliability,"If the tutorial testing broke, was a descriptive error message displayed? (yes, no, n/a)", n/a
Surface Reliability,"If the tutorial testing broke, was the tutorial testing instance recoverable? (yes, no, n/a)", n/a
Surface Reliability,Overall impression? (1 .. 10),10
Surface Reliability,Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have), n/a
,
Surface Robustness,"Does the software handle unexpected/unanticipated input (like data of the wrong type, empty input, missing files or links) reasonably? (a reasonable response can include an appropriate error message.) (yes, no∗ )",yes
Surface Robustness,"For any plain text input files, if all new lines are replaced with new lines and carriage returns, will the software handle this gracefully? (yes, no∗, n/a)",To be measured
Surface Robustness,Overall impression? (1 .. 10),10
Surface Robustness,Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have),
,
Surface Usability,"Is there a getting started tutorial? (yes, no)",yes
Surface Usability,"Is there a user manual? (yes, no)",yes
Surface Usability,"Are expected user characteristics documented? (yes, no)",yes
