GitHub Topic: motion-planning,GitHub Topic Page (community aggregation) – Browse active and popular motion planning projects.,https://github.com/topics/motion-planning,,,,,,
best-of-robot-simulators,GitHub Topic Page – Aggregates projects related to robotic simulators.,https://github.com/knmcguire/best-of-robot-simulators,,,,,,
GitHub Topic: robotics-simulation,GitHub Topic Page – Aggregates projects related to robotic simulation ecosystems.,https://github.com/topics/robotics-simulation,,,,,,
Awesome Robotics Libraries,"Community-recognized robotics library list, containing sections such as “Motion Planning” and “Simulation.”",https://github.com/jslee02/awesome-robotics-libraries,,,,,,
Awesome Robotics（ahundt）,"Comprehensive Awesome Robotics list, including categories on planning, optimization, and simulation resources.",https://github.com/ahundt/awesome-robotics,,,,,,
Awesome Robotics（kiloreux）,"Community-maintained comprehensive robotics list, containing sections for planning and simulation.",https://github.com/kiloreux/awesome-robotics,,,,,,
Awesome Motion Planning,"Curated list for motion planning, covering both classical and modern libraries, papers, and implementations.",https://github.com/AGV-IIT-KGP/awesome-motion-planning,,,,,,
Awesome Multibody Dynamics Simulation,"Curated list for multibody dynamics and simulation, covering mainstream simulators and physics engines.",https://github.com/jslee02/awesome-multibody-dynamics-simulation,,,,,,
Awesome Robotic Tooling,"Curated list of robotic tools and libraries, including IK, kinematics, visualization, and simulation tools.",https://github.com/Ly0n/awesome-robotic-tooling,,,,,,
Awesome ROS 2,"Curated list for the ROS 2 ecosystem, including navigation, planning, and simulation integrations.",https://github.com/fkromer/awesome-ros2,,,,,,
Awesome Webots,"Curated list for the Webots ecosystem, aggregating examples, interfaces, and tutorials.",https://github.com/lukicdarkoo/awesome-webots,,,,,,
Awesome Robotics Projects,"Curated list of robotics projects, including projects involving planning and simulation components.",https://github.com/mjyc/awesome-robotics-projects,,,,,,
Wikipedia: Robotics simulator,"Wikipedia article “Robotics simulator”, aggregating related links and resources.",https://en.wikipedia.org/wiki/Robotics_simulator,,,,,,
GitHub Topic: path-planning,GitHub Topic Page – Aggregates projects related to path or motion planning.,https://github.com/topics/path-planning,,,,,,
GitHub Topic: robotics-navigation,GitHub Topic Page – Aggregates projects related to navigation and planning.,https://github.com/topics/robotics-navigation,,,,,,
,,,,,,,,
,,,,,,,,
A Comparison of Humanoid Robot Simulators: A Quantitative Approach,,https://arxiv.org/abs/2008.04627,,Gazebo、Webots、V-REP/CoppeliaSim,,,,
A Study on the Challenges of Using Robotics Simulators for Testing,2020,https://arxiv.org/abs/2004.07368,,Gazebo、Webots、MuJoCo、PyBullet,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
GPT generated comprehensive list of open-source robotics software,,https://chatgpt.com/c/guide/704a10a5-129e-4a00-8005-5c74165915fa,,,,,,
# ,Software,Origin / Maintainer,Primary domain(s),Usage / citation notes,,,,
1,MoveIt / MoveIt 2,MoveIt community (PickNik / ROS),Manipulation planning, kinematics, collision checking,De-facto ROS arm manipulation stack; widely adopted in research & industry. ([moveit.ai][1]),,
2,OMPL (Open Motion Planning Library),Kavraki Lab (Rice),Sampling-based motion planning,Core library of planners (RRT*, PRM, etc.); used inside MoveIt and elsewhere. ([ompl.kavrakilab.org][2]),,
3,Drake,MIT CSAIL (Robot Locomotion Group), led with TRI,Dynamics, rigid-body modeling, planning, control,Optimization-centric toolbox with planners & controllers; active research use. ([drake.mit.edu][3])
4,Gazebo (Gazebo Sim),Open Robotics / Gazebo community,Robotics simulation (multi-engine),Modern Gazebo supports multiple physics engines; widely used for ROS. ([gazebosim.org][4]),,,,
5,Webots,Cyberbotics,Robotics simulation,Long-running, widely used in education, research & industry. ([cyberbotics.com][5]),,
6,CoppeliaSim (V-REP),Coppelia Robotics,Robotics simulation,Versatile simulator with multiple physics backends; active releases. ([coppeliarobotics.com][6]),,,,
