Section,Metric,Response
Summary Information,Software name? (string),ODE (Open Dynamics Engine)
Summary Information,URL? (URL),https://www.ode.org
Summary Information,Affiliation (institution(s)) (string or N/A),N/A (independently developed by Russell L. Smith; community maintained)
Summary Information,Software purpose (string),"Open-source, high-performance library for simulating rigid body dynamics; used in robotics, games, and interactive simulation applications"
Summary Information,Number of developers (all developers that have contributed at least one commit to the project) (use repo commit logs) (number),~35 (based on Bitbucket repository commit history; originally led by Russell L. Smith)
Summary Information,"How is the project funded? (unfunded, unclear, funded∗) where ∗ requires a string to say the source of funding",unfunded (community-maintained open-source project; no known institutional or commercial funding)
Summary Information,Initial release date? (date),May 8, 2001
Summary Information,Last commit date? (date),January 2025 (version 0.16.6 released January 16, 2025)
Summary Information,Status? (alive is defined as presence of commits in the last 18 months) (alive, dead, unclear),alive
Summary Information,"License? (GNU GPL, BSD, MIT, terms of use, trial, none, unclear, other∗) ∗ given via a string","other (dual license: LGPL 2.1 or later AND BSD-style license; user's choice)"
Summary Information,"Platforms? (set of Windows, Linux, OS X, Android, other∗) ∗ given via string","Windows, Linux, OS X"
Summary Information,"Software Category? The concept category includes software that does not have an officially released version. Public software has a released version in the public domain. Private software has a released version available to authorized users only. (concept, public, private)",public
Summary Information,"Development model? (open source, freeware, commercial, unclear)",open source
Summary Information,Publications about the software? Refers to publications that have used or mentioned the software. (number or unknown),unknown (widely cited in robotics and game physics literature since 2001; used in Gazebo simulator as a physics backend)
Summary Information,"Source code URL? (set of url, n/a, unclear)",https://bitbucket.org/odedevs/ode (primary); GitHub mirror: https://github.com/thomasmarsh/ODE
Summary Information,"Programming language(s)? (set of FORTRAN, Matlab, C, C++, Java, R, Ruby, Python, Cython, BASIC, Pascal, IDL, unclear, other∗) ∗ given via string","C, C++"
Summary Information,"Is there evidence that performance was considered? Performance refers to either speed, storage, or throughput. (yes∗, no)","yes (designed as a high-performance rigid body dynamics library; includes optimized LCP solver and collision detection)"
Summary Information,Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have),"One of the oldest and most established open-source physics engines, continuously developed since 2001. Widely used as a physics backend in Gazebo (Classic) and CoppeliaSim. The project uses Bitbucket as its primary repository (not GitHub), using Mercurial historically and now Git."
,
Installability (Measured via installation on a virtual machine.),Are there installation instructions? (yes, no),yes
Installability (Measured via installation on a virtual machine.),"Are the installation instructions in one place? Place referring to a single document or web-page. (yes, no, n/a)",yes
