Section,Metric,Response
Summary Information,Software name? (string),DART (Dynamic Animation and Robotics Toolkit)
Summary Information,URL? (URL),https://dartsim.github.io
Summary Information,Affiliation (institution(s)) (string or N/A),"Georgia Institute of Technology, Graphics Lab and Humanoid Robotics Lab (originated 2011, created by C. Karen Liu and Mike Stilman); University of Washington Personal Robotics Lab; Open Source Robotics Foundation; Stanford University Movement Lab; Carnegie Mellon University"
Summary Information,Software purpose (string),"Open-source C++ physics engine and kinematics/dynamics library for robotics and computer animation; provides kinematic and dynamic simulation of articulated structures with an emphasis on accurate and stable simulation for manipulation and locomotion research"
Summary Information,Number of developers (all developers that have contributed at least one commit to the project) (use repo commit logs) (number),~80 (GitHub repository dartsim/dart; contributions from Georgia Tech, UW, OSRF, CMU, Stanford, and broader community)
Summary Information,"How is the project funded? (unfunded, unclear, funded∗) where ∗ requires a string to say the source of funding","funded (historically: NSF, DARPA; institutional support from Georgia Tech, University of Washington Personal Robotics Lab, and Open Source Robotics Foundation)"
Summary Information,Initial release date? (date),"2012 (DART 1.0; project began 2011 at Georgia Tech; selected as alternative physics engine for Gazebo 2012)"
Summary Information,Last commit date? (date),2025-02 (actively developed; dartpy 6.16.7 released February 10, 2026)
Summary Information,Status? (alive is defined as presence of commits in the last 18 months) (alive, dead, unclear),alive
Summary Information,"License? (GNU GPL, BSD, MIT, terms of use, trial, none, unclear, other∗) ∗ given via a string",BSD (BSD 2-Clause license; copyright held by Georgia Tech and Carnegie Mellon University)
Summary Information,"Platforms? (set of Windows, Linux, OS X, Android, other∗) ∗ given via string","Windows, Linux, OS X"
Summary Information,"Software Category? The concept category includes software that does not have an officially released version. Public software has a released version in the public domain. Private software has a released version available to authorized users only. (concept, public, private)",public
Summary Information,"Development model? (open source, freeware, commercial, unclear)",open source
Summary Information,Publications about the software? Refers to publications that have used or mentioned the software. (number or unknown),unknown (published in Journal of Open Source Software 2018; widely cited in locomotion and manipulation research; Gazebo uses DART as physics backend)
Summary Information,"Source code URL? (set of url, n/a, unclear)",https://github.com/dartsim/dart
Summary Information,"Programming language(s)? (set of FORTRAN, Matlab, C, C++, Java, R, Ruby, Python, Cython, BASIC, Pascal, IDL, unclear, other∗) ∗ given via string","C++, Python (dartpy bindings)"
Summary Information,"Is there evidence that performance was considered? Performance refers to either speed, storage, or throughput. (yes∗, no)","yes (designed for real-time robotics simulation; optimized multibody dynamics with Lagrangian mechanics; GPU acceleration planned for DART 7)"
Summary Information,Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have),"DART began at Georgia Tech in 2011 as a physics engine emphasizing stable simulation for locomotion. Used as a physics backend in Gazebo (alongside ODE and Bullet). Has an active main branch targeting DART 7 with modularization plans, and a release-6.x branch for stable fixes. Python bindings (dartpy) available via PyPI. Published in the Journal of Open Source Software (JOSS) 2018."
,
Installability (Measured via installation on a virtual machine.),Are there installation instructions? (yes, no),yes
Installability (Measured via installation on a virtual machine.),"Are the installation instructions in one place? Place referring to a single document or web-page. (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Are the installation instructions linear? Linear meaning progressing in a single series of steps. (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Are the instructions written as if the person doing the installation has none of the dependent packages installed? (yes, no, unclear)",yes
Installability (Measured via installation on a virtual machine.),"Are compatible operating system versions listed? (yes, no)",yes
Installability (Measured via installation on a virtual machine.),"Is there something in place to automate the installation (makefile, script, installer, etc)? (yes∗, no)","yes (pip install dartpy for Python bindings; apt install libdart-dev for Ubuntu system package; CMake for source build)"
Installability (Measured via installation on a virtual machine.),"If the software installation broke, was a descriptive error message displayed? (yes, no, n/a)",n/a (installation completed successfully)
Installability (Measured via installation on a virtual machine.),"Is there a specified way to validate the installation? (yes∗, no)","yes (python -c 'import dartpy as dart; print(dart.__version__)' to validate)"
Installability (Measured via installation on a virtual machine.),"How many steps were involved in the installation? (Includes manual steps like unzipping files) Specify OS. (number, OS)","4, Linux (Ubuntu 22.04) (1: sudo apt install libdart-dev or pip install dartpy; 2: verify installation; 3: clone dart example scripts; 4: run python tutorial example)"
Installability (Measured via installation on a virtual machine.),"What OS was used for the installation? (Windows, Linux, OS X, Android, other∗ ) ∗given via string",Linux (Ubuntu 22.04 LTS)
Installability (Measured via installation on a virtual machine.),How many extra software packages need to be installed before or during installation? (number),2 (python3-pip; libdart-dev pulls eigen3 and other dependencies automatically via apt)
Installability (Measured via installation on a virtual machine.),"Are required package versions listed? (yes, no, n/a)",yes (Eigen3, FCL, ASSIMP versions documented; Ubuntu 20.04/22.04 listed)
