Section,Metric,Response
Summary Information,Software name? (string),MoveIt! (MoveIt 2 for ROS 2)
Summary Information,URL? (URL),https://moveit.ai
Summary Information,Affiliation (institution(s)) (string or N/A),"PickNik Robotics (PickNik Inc.) leads development; originally developed by Sachin Chitta and Dave Coleman at Willow Garage / SRI International; maintained by broad ROS community"
Summary Information,Software purpose (string),"Open-source robotics manipulation framework for ROS and ROS 2; provides motion planning, kinematics, collision checking, trajectory execution, and perception integration for robot arms and manipulators; integrates OMPL, CHOMP, STOMP, and other planners as plugins"
Summary Information,Number of developers (all developers that have contributed at least one commit to the project) (use repo commit logs) (number),~200 (moveit2 repository; combined moveit and moveit2 repos have even more contributors; broad ROS community participation)
Summary Information,"How is the project funded? (unfunded, unclear, funded∗) where ∗ requires a string to say the source of funding","funded (PickNik Robotics company revenue; Google Summer of Code participation; industrial sponsor contributions from companies using MoveIt; MoveIt Pro commercial product funds open-source development)"
Summary Information,Initial release date? (date),"2011 (MoveIt 1.0 for ROS; created by Sachin Chitta at Willow Garage; MoveIt 2 for ROS 2 began circa 2018)"
Summary Information,Last commit date? (date),2025-02 (actively developed; MoveIt 2 version 2.12.x maintained; regular releases)
Summary Information,Status? (alive is defined as presence of commits in the last 18 months) (alive, dead, unclear),alive
Summary Information,"License? (GNU GPL, BSD, MIT, terms of use, trial, none, unclear, other∗) ∗ given via a string","BSD (BSD 3-Clause license)"
Summary Information,"Platforms? (set of Windows, Linux, OS X, Android, other∗) ∗ given via string","Linux, Windows (Linux primary; Windows via WSL)"
Summary Information,"Software Category? The concept category includes software that does not have an officially released version. Public software has a released version in the public domain. Private software has a released version available to authorized users only. (concept, public, private)",public
Summary Information,"Development model? (open source, freeware, commercial, unclear)",open source
Summary Information,Publications about the software? Refers to publications that have used or mentioned the software. (number or unknown),unknown (Chitta et al. 2012 IROS paper; Coleman et al. 2014 IEEE RA-M paper; cited in thousands of robotic manipulation papers; de facto standard manipulation framework in ROS)
Summary Information,"Source code URL? (set of url, n/a, unclear)","https://github.com/moveit/moveit2 (ROS 2), https://github.com/moveit/moveit (ROS 1, maintenance mode)"
Summary Information,"Programming language(s)? (set of FORTRAN, Matlab, C, C++, Java, R, Ruby, Python, Cython, BASIC, Pascal, IDL, unclear, other∗) ∗ given via string","C++, Python"
Summary Information,"Is there evidence that performance was considered? Performance refers to either speed, storage, or throughput. (yes∗, no)","yes (real-time trajectory execution; optimized collision checking with FCL and Bullet; GPU-accelerated planning option with cuRobo integration)"
Summary Information,Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have),"MoveIt! is the de facto standard robotics manipulation framework in ROS. Supports robot arms from virtually every major manufacturer (UR, Fanuc, KUKA, ABB, Franka). URDF/SRDF based robot description. Integrates with Gazebo, RViz, and real hardware via ros_control. Annual World MoveIt Day community event. MoveIt Pro (commercial) builds on open-source MoveIt 2."
,
Installability (Measured via installation on a virtual machine.),Are there installation instructions? (yes, no),yes
Installability (Measured via installation on a virtual machine.),"Are the installation instructions in one place? Place referring to a single document or web-page. (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Are the installation instructions linear? Linear meaning progressing in a single series of steps. (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Are the instructions written as if the person doing the installation has none of the dependent packages installed? (yes, no, unclear)",yes
Installability (Measured via installation on a virtual machine.),"Are compatible operating system versions listed? (yes, no)",yes (Ubuntu 24.04 + ROS 2 Jazzy; Ubuntu 22.04 + ROS 2 Humble recommended)
Installability (Measured via installation on a virtual machine.),"Is there something in place to automate the installation (makefile, script, installer, etc)? (yes∗, no)","yes (sudo apt install ros-humble-moveit via ROS apt repository; complete one-line apt install)"
Installability (Measured via installation on a virtual machine.),"If the software installation broke, was a descriptive error message displayed? (yes, no, n/a)",n/a (installation completed successfully)
Installability (Measured via installation on a virtual machine.),"Is there a specified way to validate the installation? (yes∗, no)","yes (launch MoveIt Setup Assistant: ros2 launch moveit_setup_assistant setup_assistant.launch.py; run moveit_tutorials demo)"
Installability (Measured via installation on a virtual machine.),"How many steps were involved in the installation? (Includes manual steps like unzipping files) Specify OS. (number, OS)","5, Linux (Ubuntu 22.04) (1: install ROS 2 Humble if not already done (prerequisite); 2: sudo apt install ros-humble-moveit; 3: source /opt/ros/humble/setup.bash; 4: colcon build moveit_tutorials workspace; 5: ros2 launch moveit_tutorials demo.launch.py to validate)"
Installability (Measured via installation on a virtual machine.),"What OS was used for the installation? (Windows, Linux, OS X, Android, other∗ ) ∗given via string",Linux (Ubuntu 22.04 LTS)
Installability (Measured via installation on a virtual machine.),How many extra software packages need to be installed before or during installation? (number),2 (ROS 2 Humble as prerequisite, python3-rosdep; ROS 2 itself requires its own installation steps)
Installability (Measured via installation on a virtual machine.),"Are required package versions listed? (yes, no, n/a)",yes (specific ROS 2 distribution compatibility table listed; Python and CMake versions noted)
Installability (Measured via installation on a virtual machine.),"Are there instructions for the installation of required packages / dependencies? (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Run uninstall, if available. Were any obvious problems caused? (yes∗ , no, unavail)",no (sudo apt remove ros-humble-moveit; removes packages cleanly)
Installability (Measured via installation on a virtual machine.),Overall impression? (1 .. 10),7
