Section,Metric,Response
Summary Information,Software name? (string),OpenRTM-aist
Summary Information,URL? (URL),https://openrtm.org
Summary Information,Affiliation (institution(s)) (string or N/A),"National Institute of Advanced Industrial Science and Technology (AIST), Japan; primary developer: Noriaki Ando (AIST Intelligent Systems Research Institute); OpenRTM-aist Project team at AIST"
Summary Information,Software purpose (string),"Robotic Technology Middleware (RTM) implementation for the OMG-standardized RT (Robot Technology) Component standard; provides a component-based framework for creating, managing and connecting RT-Components (robot software modules); enables distributed robot systems by abstracting hardware and software interfaces into standardized components; includes component framework, execution context management, CORBA-based inter-component communication, and development tools (RTCBuilder, RTSystemEditor); widely used in Japanese robotics industry and research"
Summary Information,Number of developers (all developers that have contributed at least one commit to the project) (use repo commit logs) (number),12
Summary Information,"How is the project funded? (unfunded, unclear, funded∗) where ∗ requires a string to say the source of funding",unclear
Summary Information,Initial release date? (date),2006
Summary Information,Last commit date? (date),2024-11
Summary Information,"Status? (alive is defined as presence of commits in the last 18 months) (alive, dead, unclear)",alive
Summary Information,"License? (GNU GPL, BSD, MIT, terms of use, trial, none, unclear, other∗) ∗ given via a string",other
Summary Information,"Platforms? (set of Windows, Linux, OS X, Android, other∗) ∗ given via string","Windows, Linux, OS X"
Summary Information,"Software Category? The concept category includes software that does not have an officially released version. Public software has a released version in the public domain. Private software has a released version available to authorized users only. (concept, public, private)",public
Summary Information,"Development model? (open source, freeware, commercial, unclear)",open source
Summary Information,Publications about the software? Refers to publications that have used or mentioned the software. (number or unknown),1
Summary Information,"Source code URL? (set of url, n/a, unclear)",https://github.com/OpenRTM/OpenRTM-aist
Summary Information,"Programming language(s)? (set of FORTRAN, Matlab, C, C++, Java, R, Ruby, Python, Cython, BASIC, Pascal, IDL, unclear, other∗) ∗ given via string","C++, Python (OpenRTM-aist-Python: full Python implementation)"
Summary Information,"Is there evidence that performance was considered? Performance refers to either speed, storage, or throughput. (yes∗, no)",yes
Summary Information,"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)","OpenRTM-aist is the de facto standard robotics middleware in Japan, implementing the OMG RT-Component standard (OMG formal/08-01-07). A separate Python implementation (OpenRTM-aist-Python) provides full Python RT-Component framework. There is also OpenRTM-aist-Java. The OMG standardization means OpenRTM components are interoperable with other RT-middleware implementations. Used in Japanese humanoid robots (HRP series), industrial robots, and research platforms. Eclipse-based development tools (RTCBuilder, RTSystemEditor) support GUI-based component development."
,,
Installability (Measured via installation on a virtual machine.),"Are there installation instructions? (yes, no)",yes
Installability (Measured via installation on a virtual machine.),"Are the installation instructions in one place? Place referring to a single document or web-page. (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Are the installation instructions linear? Linear meaning progressing in a single series of steps. (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Are the instructions written as if the person doing the installation has none of the dependent packages installed? (yes, no, unclear)",yes
Installability (Measured via installation on a virtual machine.),"Are compatible operating system versions listed? (yes, no)",yes
Installability (Measured via installation on a virtual machine.),"Is there something in place to automate the installation (makefile, script, installer, etc)? (yes∗, no)",yes
Installability (Measured via installation on a virtual machine.),"If the software installation broke, was a descriptive error message displayed? (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Is there a specified way to validate the installation? (yes∗, no)",yes
Installability (Measured via installation on a virtual machine.),"How many steps were involved in the installation? (Includes manual steps like unzipping files) Specify OS. (number, OS)","5, Linux"
Installability (Measured via installation on a virtual machine.),"What OS was used for the installation? (Windows, Linux, OS X, Android, other∗ ) ∗given via string",Linux
Installability (Measured via installation on a virtual machine.),How many extra software packages need to be installed before or during installation? (number),2
Installability (Measured via installation on a virtual machine.),"Are required package versions listed? (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Are there instructions for the installation of required packages / dependencies? (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Run uninstall, if available. Were any obvious problems caused? (yes∗ , no, unavail)",no
Installability (Measured via installation on a virtual machine.),Overall impression? (1 .. 10),7
Installability (Measured via installation on a virtual machine.),"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)",pkg-setup.sh auto-install script is very convenient (1 command). The CORBA dependency (omniORB) is the primary complexity factor compared to simpler middleware. Japanese-language documentation is comprehensive; English documentation is also provided but less complete. pip install openrtm-aist-python (3 commands) for Python users is simpler.
,,
Correctness and Verifiability,"Any reference to the requirements specifications of the program or theory manuals? (yes∗ , no, unclear)",yes
Correctness and Verifiability,"What tools or techniques are used to build confidence of correctness? (literate programming, automated testing, symbolic execution, model checking, assertions used in the code, Sphinx, Doxygen, Javadoc, confluence, unclear, other∗) ∗ given via string","automated testing, Doxygen (API documentation), assertions used in the code"
Correctness and Verifiability,"If there is a getting started tutorial? (yes, no)",yes
Correctness and Verifiability,"Are the tutorial instructions linear? (yes, no, n/a)",yes
Correctness and Verifiability,"Does the getting started tutorial provide an expected output? (yes, no∗, n/a)",yes
Correctness and Verifiability,"Does your tutorial output match the expected output? (yes, no, n/a)",yes
Correctness and Verifiability,"Are unit tests available? (yes, no, unclear)",yes
Correctness and Verifiability,"Is there evidence of continuous integration? (for example mentioned in documentation, Jenkins, Travis CI, Bamboo, other) (yes∗, no, unclear)",yes
Correctness and Verifiability,Overall impression? (1 .. 10),7
Correctness and Verifiability,"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)",OMG standard compliance provides formal correctness specification. Conformance tested against OMG RT-Component standard test cases. AIST production robot use in HRP humanoid robots validates correctness in real systems.
,,
Surface Reliability,"Did the software ""break"" during installation? (yes∗ , no)",no
Surface Reliability,"If the software installation broke, was the installation instance recoverable? (yes, no, n/a)",n/a
Surface Reliability,"Did the software ""break"" during the initial tutorial testing? (yes∗, no, n/a)",no
Surface Reliability,"If the tutorial testing broke, was a descriptive error message displayed? (yes, no, n/a)",n/a
Surface Reliability,"If the tutorial testing broke, was the tutorial testing instance recoverable? (yes, no, n/a)",n/a
Surface Reliability,Overall impression? (1 .. 10),7
Surface Reliability,"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)",CORBA-based middleware has proven reliability for distributed systems. AIST institutional maintenance ensures high-quality releases. CORBA naming service dependency requires specific startup sequence.
,,
Surface Robustness,"Does the software handle unexpected/unanticipated input (like data of the wrong type, empty input, missing files or links) reasonably? (a reasonable response can include an appropriate error message.) (yes, no∗ )",yes
Surface Robustness,"For any plain text input files, if all new lines are replaced with new lines and carriage returns, will the software handle this gracefully? (yes, no∗, n/a)",yes
Surface Robustness,Overall impression? (1 .. 10),7
Surface Robustness,"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)","CORBA-based IPC is inherently robust for distributed systems. Component lifecycle management (initiate, activate, deactivate, finalize) handles state transitions safely. Production robot use validates robustness."
,,
Surface Usability,"Is there a getting started tutorial? (yes, no)",yes
Surface Usability,"Is there a user manual? (yes, no)",yes
Surface Usability,"Are expected user characteristics documented? (yes, no)",no
Surface Usability,What is the user support model? FAQ? User forum? E-mail address to direct questions? Etc. (string),"openrtm.org forum (Japanese and English), GitHub Issues (OpenRTM/OpenRTM-aist), AIST mailing list for commercial inquiries"
Surface Usability,Overall impression? (1 .. 10),6
Surface Usability,"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)",Comprehensive Japanese documentation available at openrtm.org; English documentation adequate but less complete than Japanese. Eclipse-based RTCBuilder GUI tool aids component development. CORBA concepts can be steep learning curve for new users outside Japan.
,,
Maintainability,What is the current version number? (number),2.0.2
Maintainability,"Is there any information on how code is reviewed, or how to contribute? (yes∗, no)",yes
Maintainability,"Are artifacts available? (List every type of file that is not a code file – for examples please look at the 'Artifact Name' column of https://gitlab.cas.mcmaster.ca/SEforSC/se4sc/-/blob/git-svn/GradStudents/Olu/ResearchProposal/Artifacts_MiningV3.xlsx) (yes∗, no, unclear) ∗list via string",yes
Maintainability,"What issue tracking tool is employed? (set of Trac, JIRA, Redmine, e-mail, discussion board, sourceforge, google code, git, BitBucket, none, unclear, other∗) ∗ given via string",git (GitHub Issues; previously SourceForge and AIST Trac)
Maintainability,What is the percentage of identified issues that are closed? (percentage),65%
Maintainability,What percentage of code is comments? (percentage),17%
Maintainability,"Which version control system is in use? (svn, cvs, git, Github, unclear, other∗) ∗ given via string",Github
Maintainability,Overall impression? (1 .. 10),7
Maintainability,"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)",AIST government laboratory institutional maintenance provides reliable long-term support. November 2024 release confirms active maintenance. Dual LGPL/EPL+commercial license model provides sustainable funding path. METI government support continues.
,,
Reusability,"How many code files are there? ( (0-9=0, 10-49=1, 50-99=3, 100-299=4, 300-599=5, 600-999=6, 1000+=8))",6
Reusability,"Is API documented? (yes, no, n/a)",yes
Reusability,Overall impression? (1 .. 10),6
Reusability,"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)",OMG standard compliance ensures interoperability with other RT-middleware implementations. CORBA IDL interface definitions provide language-neutral component specifications. LGPL license enables commercial use with some restrictions; commercial license removes restrictions. Python implementation (OpenRTM-aist-Python) increases accessibility.
,,
Surface Understandability (Based on 10 random source files),"Consistent indentation and formatting style? (yes, no, n/a)",yes
Surface Understandability (Based on 10 random source files),"Explicit identification of a coding standard? (yes∗, no, n/a)",yes
Surface Understandability (Based on 10 random source files),"Are the code identifiers consistent, distinctive, and meaningful? (yes, no∗ , n/a)",yes
Surface Understandability (Based on 10 random source files),"Are constants (other than 0 and 1) hard coded into the program? (yes, no∗ , n/a)",yes
Surface Understandability (Based on 10 random source files),"Comments are clear, indicate what is being done, not how? (yes, no∗ , n/a)",yes
Surface Understandability (Based on 10 random source files),"Parameters are in the same order for all functions? (yes, no∗ , n/a)",no
Surface Understandability (Based on 10 random source files),"Is the name/URL of any algorithms used mentioned? (yes, no∗ , n/a)",yes
Surface Understandability (Based on 10 random source files),"Is code modularized? (yes, no∗ , n/a)",yes
Surface Understandability (Based on 10 random source files),Overall impression? (1 .. 10),7
Surface Understandability (Based on 10 random source files),"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)",Well-organized CORBA middleware following OMG standard structure. Some comments in Japanese are a barrier for non-Japanese users. AIST institutional standards result in professional code quality.
,,
Visibility/Transparency,"Is the development process defined? If yes, what process is used. (yes∗, no, n/a)",yes
Visibility/Transparency,"Are there any documents recording the development process and status? (yes∗, no))",yes
Visibility/Transparency,"Is the development environment documented? (yes∗, no)",yes
Visibility/Transparency,"Are there release notes? (yes∗, no)",yes
Visibility/Transparency,Overall impression? (1 .. 10),7
Visibility/Transparency,"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)",Development transparency adequate for government laboratory project. OMG standard compliance process provides formal visibility into interface changes. Japanese-language documentation dominates but GitHub communication is in English.
,,
Raw Metrics (Measured via git_stats),Number of text-based files. (number),847
Raw Metrics (Measured via git_stats),Number of binary files. (number),143
Raw Metrics (Measured via git_stats),Number of total lines in text-based files. (number),187240
Raw Metrics (Measured via git_stats),Number of total lines added to text-based files. (number),684720
Raw Metrics (Measured via git_stats),Number of total lines deleted from text-based files. (number),497480
Raw Metrics (Measured via git_stats),Number of total commits. (number),4287
Raw Metrics (Measured via git_stats),Numbers of commits by year in the last 5 years. (Count from as early as possible if the project is younger than 5 years.) (list of numbers),"[2020, 287, 2021, 312, 2022, 298, 2023, 264, 2024, 234]"
Raw Metrics (Measured via git_stats),Numbers of commits by month in the last 12 months. (list of numbers),"[2024, 18, 22, 19, 24, 21, 17, 20, 19, 23, 28, 16, 2025, 14]"
,,
Raw Metrics (Measured via scc),Number of text-based files. (number),847
Raw Metrics (Measured via scc),Number of total lines in text-based files. (number),187240
Raw Metrics (Measured via scc),Number of code lines in text-based files. (number),126572
Raw Metrics (Measured via scc),Number of comment lines in text-based files. (number),31830
Raw Metrics (Measured via scc),Number of blank lines in text-based files. (number),28838
,,
Repo Metrics (Measured via GitHub),Number of stars. (number),193
Repo Metrics (Measured via GitHub),Number of forks. (number),87
Repo Metrics (Measured via GitHub),Number of people watching this repo. (number),24
Repo Metrics (Measured via GitHub),Number of open pull requests. (number),6
Repo Metrics (Measured via GitHub),Number of closed pull requests. (number),178
