Section,Metric,Response
Summary Information,Software name? (string),CoppeliaSim
Summary Information,URL? (URL),https://www.coppeliarobotics.com
Summary Information,Affiliation (institution(s)) (string or N/A),"Coppelia Robotics AG (Zurich, Switzerland); originally developed within Toshiba R&D"
Summary Information,Software purpose (string),"Versatile and scalable robot simulation framework for rapid algorithm development, factory automation simulation, fast prototyping, verification, and digital twin creation"
Summary Information,Number of developers (all developers that have contributed at least one commit to the project) (use repo commit logs) (number),30
Summary Information,"How is the project funded? (unfunded, unclear, funded∗) where ∗ requires a string to say the source of funding",funded
Summary Information,Initial release date? (date),2010
Summary Information,Last commit date? (date),2025-02
Summary Information,"Status? (alive is defined as presence of commits in the last 18 months) (alive, dead, unclear)",alive
Summary Information,"License? (GNU GPL, BSD, MIT, terms of use, trial, none, unclear, other∗) ∗ given via a string",other
Summary Information,"Platforms? (set of Windows, Linux, OS X, Android, other∗) ∗ given via string","Windows, Linux, OS X"
Summary Information,"Software Category? The concept category includes software that does not have an officially released version. Public software has a released version in the public domain. Private software has a released version available to authorized users only. (concept, public, private)",public
Summary Information,"Development model? (open source, freeware, commercial, unclear)",commercial
Summary Information,Publications about the software? Refers to publications that have used or mentioned the software. (number or unknown),1
Summary Information,"Source code URL? (set of url, n/a, unclear)",https://github.com/CoppeliaRobotics/coppeliaSimLib
Summary Information,"Programming language(s)? (set of FORTRAN, Matlab, C, C++, Java, R, Ruby, Python, Cython, BASIC, Pascal, IDL, unclear, other∗) ∗ given via string","C++, C, Python, other (Lua for scripting; Java, MATLAB, Octave, Rust supported via remote API)"
Summary Information,"Is there evidence that performance was considered? Performance refers to either speed, storage, or throughput. (yes∗, no)",yes
Summary Information,"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)","Formerly known as V-REP, rebranded 2019. CoppeliaSim Edu is free and fully functional for academic use only. CoppeliaSim Pro is commercial. CoppeliaSim Player is a free limited viewer. Coppelia Robotics founded in 2010, acquired by Blue Workforce in 2016."
,,
Installability (Measured via installation on a virtual machine.),"Are there installation instructions? (yes, no)",yes
Installability (Measured via installation on a virtual machine.),"Are the installation instructions in one place? Place referring to a single document or web-page. (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Are the installation instructions linear? Linear meaning progressing in a single series of steps. (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Are the instructions written as if the person doing the installation has none of the dependent packages installed? (yes, no, unclear)",yes
Installability (Measured via installation on a virtual machine.),"Are compatible operating system versions listed? (yes, no)",yes
Installability (Measured via installation on a virtual machine.),"Is there something in place to automate the installation (makefile, script, installer, etc)? (yes∗, no)",yes
Installability (Measured via installation on a virtual machine.),"If the software installation broke, was a descriptive error message displayed? (yes, no, n/a)",n/a
Installability (Measured via installation on a virtual machine.),"Is there a specified way to validate the installation? (yes∗, no)",yes
Installability (Measured via installation on a virtual machine.),"How many steps were involved in the installation? (Includes manual steps like unzipping files) Specify OS. (number, OS)","5, Linux"
Installability (Measured via installation on a virtual machine.),"What OS was used for the installation? (Windows, Linux, OS X, Android, other∗ ) ∗given via string",Linux
Installability (Measured via installation on a virtual machine.),How many extra software packages need to be installed before or during installation? (number),2
Installability (Measured via installation on a virtual machine.),"Are required package versions listed? (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Are there instructions for the installation of required packages / dependencies? (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Run uninstall, if available. Were any obvious problems caused? (yes∗ , no, unavail)",no
Installability (Measured via installation on a virtual machine.),Overall impression? (1 .. 10),7
Installability (Measured via installation on a virtual machine.),"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)","Installation is straightforward on Linux — download and extract. No compilation needed. OpenGL library dependencies required for display. CoppeliaSim Edu requires email registration on website before download, adding an extra step compared to pip-based tools."
,,
Correctness and Verifiability,"Any reference to the requirements specifications of the program or theory manuals? (yes∗ , no, unclear)",yes
Correctness and Verifiability,"What tools or techniques are used to build confidence of correctness? (literate programming, automated testing, symbolic execution, model checking, assertions used in the code, Sphinx, Doxygen, Javadoc, confluence, unclear, other∗) ∗ given via string","automated testing, Doxygen (API documentation)"
Correctness and Verifiability,"If there is a getting started tutorial? (yes, no)",yes
Correctness and Verifiability,"Are the tutorial instructions linear? (yes, no, n/a)",yes
Correctness and Verifiability,"Does the getting started tutorial provide an expected output? (yes, no∗, n/a)",yes
Correctness and Verifiability,"Does your tutorial output match the expected output? (yes, no, n/a)",yes
Correctness and Verifiability,"Are unit tests available? (yes, no, unclear)",unclear
Correctness and Verifiability,"Is there evidence of continuous integration? (for example mentioned in documentation, Jenkins, Travis CI, Bamboo, other) (yes∗, no, unclear)",unclear
Correctness and Verifiability,Overall impression? (1 .. 10),7
Correctness and Verifiability,"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)",Tutorial scenes loaded and ran correctly in the GUI. Simulation behavior matched the documented descriptions. No formal unit test suite visible in the public repository.
,,
Surface Reliability,"Did the software ""break"" during installation? (yes∗ , no)",no
Surface Reliability,"If the software installation broke, was the installation instance recoverable? (yes, no, n/a)",n/a
Surface Reliability,"Did the software ""break"" during the initial tutorial testing? (yes∗, no, n/a)",no
Surface Reliability,"If the tutorial testing broke, was a descriptive error message displayed? (yes, no, n/a)",n/a
Surface Reliability,"If the tutorial testing broke, was the tutorial testing instance recoverable? (yes, no, n/a)",n/a
Surface Reliability,Overall impression? (1 .. 10),8
Surface Reliability,"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)",Installation and initial tutorial scenes ran reliably. The GUI is stable under normal usage conditions. No crashes observed during the evaluation period.
,,
Surface Robustness,"Does the software handle unexpected/unanticipated input (like data of the wrong type, empty input, missing files or links) reasonably? (a reasonable response can include an appropriate error message.) (yes, no∗ )",yes
Surface Robustness,"For any plain text input files, if all new lines are replaced with new lines and carriage returns, will the software handle this gracefully? (yes, no∗, n/a)",yes
Surface Robustness,Overall impression? (1 .. 10),7
Surface Robustness,"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)",Error dialogs are informative and guide the user toward resolution. Some edge case errors in Lua scripting produce generic messages rather than specific diagnostics.
,,
Surface Usability,"Is there a getting started tutorial? (yes, no)",yes
Surface Usability,"Is there a user manual? (yes, no)",yes
Surface Usability,"Are expected user characteristics documented? (yes, no)",no
Surface Usability,What is the user support model? FAQ? User forum? E-mail address to direct questions? Etc. (string),"Official forum (forum.coppeliarobotics.com), comprehensive User Manual included in download, tutorial series on official website, API documentation online"
Surface Usability,Overall impression? (1 .. 10),7
Surface Usability,"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)",Comprehensive documentation and active forum. The GUI has a learning curve for new users due to its rich feature set. Tutorial series progressively introduces concepts well. Lua scripting knowledge required for advanced usage.
,,
Maintainability,What is the current version number? (number),4.7.0
Maintainability,"Is there any information on how code is reviewed, or how to contribute? (yes∗, no)",yes
