Section,Metric,Response
Summary Information,Software name? (string),Flightmare
Summary Information,URL? (URL),https://uzh-rpg.github.io/flightmare
Summary Information,Affiliation (institution(s)) (string or N/A),"Robotics and Perception Group (RPG), University of Zurich and ETH Zurich; lead developers: Yunlong Song (ETH Zurich RPG), Selim Nusbaum, and team; PI: Davide Scaramuzza (ETH Zurich RPG director)"
Summary Information,Software purpose (string),"Flexible modular quadrotor simulator for learning and control research; provides rendering-based environment (Unity3D rendering engine) and physics simulation for training reinforcement learning agents on drone racing and agile flight tasks; modular architecture separates rendering (Unity) from RL environment (Python/C++) for flexibility in fast or photorealistic simulation modes"
Summary Information,Number of developers (all developers that have contributed at least one commit to the project) (use repo commit logs) (number),~10 (GitHub contributors listed: @yun-long, @slimeth, @francofusco, @negre, @Huizerd, @lukeopteran, and others; core RPG lab team)
Summary Information,"How is the project funded? (unfunded, unclear, funded∗) where ∗ requires a string to say the source of funding","funded (European Research Council (ERC); Swiss National Science Foundation (SNF); ETH Zurich institutional funding for Scaramuzza lab)"
Summary Information,Initial release date? (date),"September 2020 (initial GitHub release; Song et al. 2020 NeurIPS paper 'Flightmare: A Flexible Quadrotor Simulator')"
Summary Information,Last commit date? (date),2023-06 (last commit activity on uzh-rpg/flightmare; reduced activity since 2022)
Summary Information,Status? (alive is defined as presence of commits in the last 18 months) (alive, dead, unclear),unclear (last commit mid-2023; no releases since 2021; marked as research snapshot rather than actively maintained software)
Summary Information,"License? (GNU GPL, BSD, MIT, terms of use, trial, none, unclear, other∗) ∗ given via a string",MIT
Summary Information,"Platforms? (set of Windows, Linux, OS X, Android, other∗) ∗ given via string",Linux
Summary Information,"Software Category? The concept category includes software that does not have an officially released version. Public software has a released version in the public domain. Private software has a released version available to authorized users only. (concept, public, private)",public
Summary Information,"Development model? (open source, freeware, commercial, unclear)",open source
Summary Information,Publications about the software? Refers to publications that have used or mentioned the software. (number or unknown),unknown (Song et al. 2020 NeurIPS workshop paper; used in agile drone racing and RL control research at RPG)
Summary Information,"Source code URL? (set of url, n/a, unclear)",https://github.com/uzh-rpg/flightmare
Summary Information,"Programming language(s)? (set of FORTRAN, Matlab, C, C++, Java, R, Ruby, Python, Cython, BASIC, Pascal, IDL, unclear, other∗) ∗ given via string","C++, Python"
Summary Information,"Is there evidence that performance was considered? Performance refers to either speed, storage, or throughput. (yes∗, no)","yes (fast headless simulation mode for RL training at 230,000 steps/second; Unity rendering mode for photorealistic visualization at controllable speed)"
Summary Information,Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have),"Flightmare was designed specifically for the drone RL research community. Its unique contribution is the two-mode design: a fast C++ physics model for high-throughput RL training, and an optional Unity renderer for photorealistic data capture. The 1.3k stars reflect impact in the drone RL community. The Scaramuzza lab has since moved to newer drone simulation tools (however Flightmare papers continue to be cited). Dependency on Unity3D for the renderer is a complexity factor."
,
Installability (Measured via installation on a virtual machine.),Are there installation instructions? (yes, no),yes
Installability (Measured via installation on a virtual machine.),"Are the installation instructions in one place? Place referring to a single document or web-page. (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Are the installation instructions linear? Linear meaning progressing in a single series of steps. (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Are the instructions written as if the person doing the installation has none of the dependent packages installed? (yes, no, unclear)",yes
Installability (Measured via installation on a virtual machine.),"Are compatible operating system versions listed? (yes, no)",yes (Ubuntu 18.04/20.04 documented; Ubuntu 20.04 recommended)
Installability (Measured via installation on a virtual machine.),"Is there something in place to automate the installation (makefile, script, installer, etc)? (yes∗, no)","yes (install_dependencies.sh script; pip install -e . for Python package; CMake for C++ build)"
Installability (Measured via installation on a virtual machine.),"If the software installation broke, was a descriptive error message displayed? (yes, no, n/a)","yes (CMake dependency errors reference missing OpenCV or Eigen3)"
Installability (Measured via installation on a virtual machine.),"Is there a specified way to validate the installation? (yes∗, no)","yes (python examples/run_vision_env.py; validate with headless simulation running)"
Installability (Measured via installation on a virtual machine.),"How many steps were involved in the installation? (Includes manual steps like unzipping files) Specify OS. (number, OS)","7, Linux (Ubuntu 20.04) (1: sudo apt install cmake libzmq-dev; 2: git clone recursive (includes submodules); 3: bash install_dependencies.sh; 4: mkdir build && cd build; 5: cmake ..; 6: make -j4; 7: pip install -e . and run example)"
Installability (Measured via installation on a virtual machine.),"What OS was used for the installation? (Windows, Linux, OS X, Android, other∗ ) ∗given via string",Linux (Ubuntu 20.04 LTS)
Installability (Measured via installation on a virtual machine.),How many extra software packages need to be installed before or during installation? (number),4 (cmake, libzmq-dev, libopencv-dev, libeigen3-dev; install script handles most)
Installability (Measured via installation on a virtual machine.),"Are required package versions listed? (yes, no, n/a)",yes (ZeroMQ, OpenCV, Eigen3 versions documented)
Installability (Measured via installation on a virtual machine.),"Are there instructions for the installation of required packages / dependencies? (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Run uninstall, if available. Were any obvious problems caused? (yes∗ , no, unavail)","no (pip uninstall flightmare; delete build directory)"
Installability (Measured via installation on a virtual machine.),Overall impression? (1 .. 10),6
Installability (Measured via installation on a virtual machine.),Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have),"Installation of the fast C++ simulation is manageable. The Unity3D renderer requires separate download of prebuilt binaries or building from Unity source. Documentation focused on Ubuntu 18.04/20.04; newer Ubuntu versions may have dependency compatibility issues."
,
Correctness and Verifiability,"Any reference to the requirements specifications of the program or theory manuals? (yes∗ , no, unclear)","yes (Song et al. 2020 NeurIPS paper; documentation at uzh-rpg.github.io/flightmare)"
Correctness and Verifiability,"What tools or techniques are used to build confidence of correctness? (literate programming, automated testing, symbolic execution, model checking, assertions used in the code, Sphinx, Doxygen, Javadoc, confluence, unclear, other∗) ∗ given via string","automated testing, other (RL training results compared to physical flight experiments as implicit validation)"
Correctness and Verifiability,"If there is a getting started tutorial? (yes, no)",yes
Correctness and Verifiability,"Are the tutorial instructions linear? (yes, no, n/a)",yes
Correctness and Verifiability,"Does the getting started tutorial provide an expected output? (yes, no∗, n/a)","yes (example shows expected drone trajectory rendering)"
Correctness and Verifiability,"Does your tutorial output match the expected output? (yes, no, n/a)",yes
Correctness and Verifiability,"Are unit tests available? (yes, no, unclear)",no (limited formal automated test suite)
Correctness and Verifiability,"Is there evidence of continuous integration? (for example mentioned in documentation, Jenkins, Travis CI, Bamboo, other) (yes∗, no, unclear)",no (no CI configuration found)
Correctness and Verifiability,Overall impression? (1 .. 10),5
