Section,Metric,Response
Summary Information,Software name? (string),Drake
Summary Information,URL? (URL),https://drake.mit.edu
Summary Information,Affiliation (institution(s)) (string or N/A),"MIT Computer Science and Artificial Intelligence Laboratory (CSAIL), Robot Locomotion Group (originated); primary development now by Toyota Research Institute (TRI); additional contributions from MIT, CMU, and the broader robotics community"
Summary Information,Software purpose (string),"Open-source C++ and Python toolbox for model-based design and verification of robotics systems; focuses on multibody dynamics, trajectory optimization, model predictive control, perception, manipulation planning, and formal verification for robustly safe robots"
Summary Information,Number of developers (all developers that have contributed at least one commit to the project) (use repo commit logs) (number),225
Summary Information,"How is the project funded? (unfunded, unclear, funded∗) where ∗ requires a string to say the source of funding",unclear
Summary Information,Initial release date? (date),2012
Summary Information,Last commit date? (date),2025-02
Summary Information,"Status? (alive is defined as presence of commits in the last 18 months) (alive, dead, unclear)",alive
Summary Information,"License? (GNU GPL, BSD, MIT, terms of use, trial, none, unclear, other∗) ∗ given via a string",mit
Summary Information,"Platforms? (set of Windows, Linux, OS X, Android, other∗) ∗ given via string","Linux, OS X"
Summary Information,"Software Category? The concept category includes software that does not have an officially released version. Public software has a released version in the public domain. Private software has a released version available to authorized users only. (concept, public, private)",public
Summary Information,"Development model? (open source, freeware, commercial, unclear)",open source
Summary Information,Publications about the software? Refers to publications that have used or mentioned the software. (number or unknown),unknown
Summary Information,"Source code URL? (set of url, n/a, unclear)",https://github.com/RobotLocomotion/drake
Summary Information,"Programming language(s)? (set of FORTRAN, Matlab, C, C++, Java, R, Ruby, Python, Cython, BASIC, Pascal, IDL, unclear, other∗) ∗ given via string","C++, Python, other (originally MATLAB; Bazel build system)"
Summary Information,"Is there evidence that performance was considered? Performance refers to either speed, storage, or throughput. (yes∗, no)",yes
Summary Information,"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)",Drake (named after Sir Francis Drake) started as a MATLAB toolbox at MIT for dynamic systems analysis. It was rewritten in C++ with Python bindings and is now the primary simulation and planning framework used at Toyota Research Institute. Releases monthly on the last Thursday of each month. Unusually rigorous software engineering practices for a research codebase.
,,
Installability (Measured via installation on a virtual machine.),"Are there installation instructions? (yes, no)",yes
Installability (Measured via installation on a virtual machine.),"Are the installation instructions in one place? Place referring to a single document or web-page. (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Are the installation instructions linear? Linear meaning progressing in a single series of steps. (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Are the instructions written as if the person doing the installation has none of the dependent packages installed? (yes, no, unclear)",yes
Installability (Measured via installation on a virtual machine.),"Are compatible operating system versions listed? (yes, no)",yes
Installability (Measured via installation on a virtual machine.),"Is there something in place to automate the installation (makefile, script, installer, etc)? (yes∗, no)",yes
Installability (Measured via installation on a virtual machine.),"If the software installation broke, was a descriptive error message displayed? (yes, no, n/a)",n/a
Installability (Measured via installation on a virtual machine.),"Is there a specified way to validate the installation? (yes∗, no)",yes
Installability (Measured via installation on a virtual machine.),"How many steps were involved in the installation? (Includes manual steps like unzipping files) Specify OS. (number, OS)","4, Linux"
Installability (Measured via installation on a virtual machine.),"What OS was used for the installation? (Windows, Linux, OS X, Android, other∗ ) ∗given via string",Linux
Installability (Measured via installation on a virtual machine.),How many extra software packages need to be installed before or during installation? (number),1
Installability (Measured via installation on a virtual machine.),"Are required package versions listed? (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Are there instructions for the installation of required packages / dependencies? (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Run uninstall, if available. Were any obvious problems caused? (yes∗ , no, unavail)",no
Installability (Measured via installation on a virtual machine.),Overall impression? (1 .. 10),9
Installability (Measured via installation on a virtual machine.),"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)",Exceptionally smooth pip-based installation. Monthly releases published to PyPI make it easy to keep up to date. The apt package option also available for system integration. Documentation clearly specifies supported Python and OS versions. One of the best installation experiences among the tools reviewed.
,,
Correctness and Verifiability,"Any reference to the requirements specifications of the program or theory manuals? (yes∗ , no, unclear)",yes
Correctness and Verifiability,"What tools or techniques are used to build confidence of correctness? (literate programming, automated testing, symbolic execution, model checking, assertions used in the code, Sphinx, Doxygen, Javadoc, confluence, unclear, other∗) ∗ given via string","automated testing, Sphinx (documentation), Doxygen (C++ API), model checking, assertions used in the code, other (lcov for code coverage; ci/cd with Bazel test suite; over 95% code coverage target)"
Correctness and Verifiability,"If there is a getting started tutorial? (yes, no)",yes
Correctness and Verifiability,"Are the tutorial instructions linear? (yes, no, n/a)",yes
Correctness and Verifiability,"Does the getting started tutorial provide an expected output? (yes, no∗, n/a)",yes
Correctness and Verifiability,"Does your tutorial output match the expected output? (yes, no, n/a)",yes
Correctness and Verifiability,"Are unit tests available? (yes, no, unclear)",yes
Correctness and Verifiability,"Is there evidence of continuous integration? (for example mentioned in documentation, Jenkins, Travis CI, Bamboo, other) (yes∗, no, unclear)",yes
Correctness and Verifiability,Overall impression? (1 .. 10),10
Correctness and Verifiability,"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)",Highest correctness standards of all reviewed simulators. Tutorial Jupyter notebooks ran flawlessly. The project targets >95% code coverage. Formal verification tools (mathematical proofs via Lyapunov analysis) are a core Drake feature. Russ Tedrake's online textbook uses Drake tutorials as course material.
,,
Surface Reliability,"Did the software ""break"" during installation? (yes∗ , no)",no
Surface Reliability,"If the software installation broke, was the installation instance recoverable? (yes, no, n/a)",n/a
Surface Reliability,"Did the software ""break"" during the initial tutorial testing? (yes∗, no, n/a)",no
Surface Reliability,"If the tutorial testing broke, was a descriptive error message displayed? (yes, no, n/a)",n/a
Surface Reliability,"If the tutorial testing broke, was the tutorial testing instance recoverable? (yes, no, n/a)",n/a
Surface Reliability,Overall impression? (1 .. 10),10
