Section,Metric,Response
Summary Information,Software name? (string),GraspIt!
Summary Information,URL? (URL),http://graspit-simulator.github.io
Summary Information,Affiliation (institution(s)) (string or N/A),"Columbia University Robotics Group (Professor Peter Allen, lab of origin); current maintainers: Matei Ciocarlie (Columbia Robotics & Rehabilitation Lab), Jake Varley (Google), Jon Weisz; historical contributors at Columbia and Carnegie Mellon"
Summary Information,Software purpose (string),"Simulation environment for robotic grasping research; supports loading robot hand models and 3D object models to plan, evaluate, and visualize grasps; implements grasp quality metrics (epsilon and volume quality measures), contact model simulation, and the GraspIt! eigengrasp planning framework; integrates Columbia Grasp Database (CGDB)"
Summary Information,Number of developers (all developers that have contributed at least one commit to the project) (use repo commit logs) (number),20
Summary Information,"How is the project funded? (unfunded, unclear, funded∗) where ∗ requires a string to say the source of funding",unclear
Summary Information,Initial release date? (date),2000
Summary Information,Last commit date? (date),2022-08
Summary Information,"Status? (alive is defined as presence of commits in the last 18 months) (alive, dead, unclear)",unclear
Summary Information,"License? (GNU GPL, BSD, MIT, terms of use, trial, none, unclear, other∗) ∗ given via a string",gnu gpl
Summary Information,"Platforms? (set of Windows, Linux, OS X, Android, other∗) ∗ given via string","Windows, Linux, OS X"
Summary Information,"Software Category? The concept category includes software that does not have an officially released version. Public software has a released version in the public domain. Private software has a released version available to authorized users only. (concept, public, private)",public
Summary Information,"Development model? (open source, freeware, commercial, unclear)",open source
Summary Information,Publications about the software? Refers to publications that have used or mentioned the software. (number or unknown),unknown
Summary Information,"Source code URL? (set of url, n/a, unclear)",https://github.com/graspit-simulator/graspit
Summary Information,"Programming language(s)? (set of FORTRAN, Matlab, C, C++, Java, R, Ruby, Python, Cython, BASIC, Pascal, IDL, unclear, other∗) ∗ given via string","C++, Python (ROS interface)"
Summary Information,"Is there evidence that performance was considered? Performance refers to either speed, storage, or throughput. (yes∗, no)",yes
Summary Information,"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)","GraspIt! was the dominant open-source grasp planning simulator from ~2000-2016. Version 4.0 (April 2021) brought major modernization: switched from qmake to CMake, from custom linear algebra to Eigen3, and added Bullet physics integration. A ROS package (graspit_interface) enables integration with ROS-based manipulation systems. Activity has declined since 2022, with minimal maintenance. The Columbia Grasp Database (CGDB) integration remains a unique feature."
,,
Installability (Measured via installation on a virtual machine.),"Are there installation instructions? (yes, no)",yes
