Section,Metric,Response
Summary Information,Software name? (string),Project Chrono
Summary Information,URL? (URL),https://projectchrono.org
Summary Information,Affiliation (institution(s)) (string or N/A),"University of Wisconsin-Madison (primary lead; Dan Negrut, Simulation-Based Engineering Lab) and University of Parma, Italy (co-developer; Alessandro Tasora); supported by NSF, US Army, and other funders"
Summary Information,Software purpose (string),"High-performance open-source multi-physics simulation library; provides multibody dynamics, finite element analysis (FEA), rigid and flexible body simulation, vehicle dynamics (Chrono::Vehicle), granular terrain (Chrono::Granular), fluid-solid interaction (Chrono::FSI), and sensor simulation (Chrono::Sensor); supports GPU-accelerated simulation via CUDA"
Summary Information,Number of developers (all developers that have contributed at least one commit to the project) (use repo commit logs) (number),50
Summary Information,"How is the project funded? (unfunded, unclear, funded∗) where ∗ requires a string to say the source of funding",unclear
Summary Information,Initial release date? (date),2000
Summary Information,Last commit date? (date),2025-02
Summary Information,"Status? (alive is defined as presence of commits in the last 18 months) (alive, dead, unclear)",alive
Summary Information,"License? (GNU GPL, BSD, MIT, terms of use, trial, none, unclear, other∗) ∗ given via a string",bsd
Summary Information,"Platforms? (set of Windows, Linux, OS X, Android, other∗) ∗ given via string","Windows, Linux, OS X"
Summary Information,"Software Category? The concept category includes software that does not have an officially released version. Public software has a released version in the public domain. Private software has a released version available to authorized users only. (concept, public, private)",public
Summary Information,"Development model? (open source, freeware, commercial, unclear)",open source
Summary Information,Publications about the software? Refers to publications that have used or mentioned the software. (number or unknown),1
Summary Information,"Source code URL? (set of url, n/a, unclear)",https://github.com/projectchrono/chrono
Summary Information,"Programming language(s)? (set of FORTRAN, Matlab, C, C++, Java, R, Ruby, Python, Cython, BASIC, Pascal, IDL, unclear, other∗) ∗ given via string","C++, Python (Python bindings via PyChrono)"
Summary Information,"Is there evidence that performance was considered? Performance refers to either speed, storage, or throughput. (yes∗, no)",yes
Summary Information,"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)","Project Chrono is uniquely comprehensive: rigid multibody + FEA + vehicle dynamics + GPU granular mechanics + fluid-structure interaction in one library. Chrono::Vehicle module is particularly advanced for autonomous ground vehicle simulation. PyChrono Python bindings enable scripting. Integration with Blender (Chrono::Blender) for visualization. Used by automotive industry, US Army, and NASA for off-road vehicle simulation."
,,
Installability (Measured via installation on a virtual machine.),"Are there installation instructions? (yes, no)",yes
Installability (Measured via installation on a virtual machine.),"Are the installation instructions in one place? Place referring to a single document or web-page. (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Are the installation instructions linear? Linear meaning progressing in a single series of steps. (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Are the instructions written as if the person doing the installation has none of the dependent packages installed? (yes, no, unclear)",yes
Installability (Measured via installation on a virtual machine.),"Are compatible operating system versions listed? (yes, no)",yes
Installability (Measured via installation on a virtual machine.),"Is there something in place to automate the installation (makefile, script, installer, etc)? (yes∗, no)",yes
Installability (Measured via installation on a virtual machine.),"If the software installation broke, was a descriptive error message displayed? (yes, no, n/a)",n/a
Installability (Measured via installation on a virtual machine.),"Is there a specified way to validate the installation? (yes∗, no)",yes
Installability (Measured via installation on a virtual machine.),"How many steps were involved in the installation? (Includes manual steps like unzipping files) Specify OS. (number, OS)","5, Linux"
Installability (Measured via installation on a virtual machine.),"What OS was used for the installation? (Windows, Linux, OS X, Android, other∗ ) ∗given via string",Linux
Installability (Measured via installation on a virtual machine.),How many extra software packages need to be installed before or during installation? (number),3
Installability (Measured via installation on a virtual machine.),"Are required package versions listed? (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Are there instructions for the installation of required packages / dependencies? (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Run uninstall, if available. Were any obvious problems caused? (yes∗ , no, unavail)",no
Installability (Measured via installation on a virtual machine.),Overall impression? (1 .. 10),7
Installability (Measured via installation on a virtual machine.),"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)","PyChrono conda install is simple (1 command). Full source build with all modules (Vehicle, Granular, FSI, GPU) is complex due to many optional dependencies. Documentation clearly separates installation by module."
,,
Correctness and Verifiability,"Any reference to the requirements specifications of the program or theory manuals? (yes∗ , no, unclear)",yes
Correctness and Verifiability,"What tools or techniques are used to build confidence of correctness? (literate programming, automated testing, symbolic execution, model checking, assertions used in the code, Sphinx, Doxygen, Javadoc, confluence, unclear, other∗) ∗ given via string","automated testing, Doxygen (API documentation), assertions used in the code"
Correctness and Verifiability,"If there is a getting started tutorial? (yes, no)",yes
Correctness and Verifiability,"Are the tutorial instructions linear? (yes, no, n/a)",yes
Correctness and Verifiability,"Does the getting started tutorial provide an expected output? (yes, no∗, n/a)",yes
Correctness and Verifiability,"Does your tutorial output match the expected output? (yes, no, n/a)",yes
Correctness and Verifiability,"Are unit tests available? (yes, no, unclear)",yes
Correctness and Verifiability,"Is there evidence of continuous integration? (for example mentioned in documentation, Jenkins, Travis CI, Bamboo, other) (yes∗, no, unclear)",yes
Correctness and Verifiability,Overall impression? (1 .. 10),8
Correctness and Verifiability,"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)",Multi-physics correctness validated through multiple academic publications per module. Vehicle dynamics validation against experimental data documented by UW-Madison SBEL. NSF funding requires reproducibility.
,,
Surface Reliability,"Did the software ""break"" during installation? (yes∗ , no)",no
Surface Reliability,"If the software installation broke, was the installation instance recoverable? (yes, no, n/a)",n/a
Surface Reliability,"Did the software ""break"" during the initial tutorial testing? (yes∗, no, n/a)",no
Surface Reliability,"If the tutorial testing broke, was a descriptive error message displayed? (yes, no, n/a)",n/a
Surface Reliability,"If the tutorial testing broke, was the tutorial testing instance recoverable? (yes, no, n/a)",n/a
Surface Reliability,Overall impression? (1 .. 10),8
Surface Reliability,"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)",Core multibody simulation is very reliable. Optional GPU modules (Chrono::Granular) require correct CUDA setup for stability. Well-tested core dynamics code.
,,
Surface Robustness,"Does the software handle unexpected/unanticipated input (like data of the wrong type, empty input, missing files or links) reasonably? (a reasonable response can include an appropriate error message.) (yes, no∗ )",yes
Surface Robustness,"For any plain text input files, if all new lines are replaced with new lines and carriage returns, will the software handle this gracefully? (yes, no∗, n/a)",yes
Surface Robustness,Overall impression? (1 .. 10),7
Surface Robustness,"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)",Good error handling in both C++ and Python APIs. GPU out-of-memory errors for very large granular simulations are descriptive.
,,
Surface Usability,"Is there a getting started tutorial? (yes, no)",yes
Surface Usability,"Is there a user manual? (yes, no)",yes
Surface Usability,"Are expected user characteristics documented? (yes, no)",no
Surface Usability,What is the user support model? FAQ? User forum? E-mail address to direct questions? Etc. (string),"projectchrono.org forum, GitHub Issues, GitHub Discussions, Discord server (Project Chrono community)"
Surface Usability,Overall impression? (1 .. 10),7
Surface Usability,"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)","Well-documented with API docs, tutorials, and demo programs for each module. The breadth of modules can be overwhelming for new users. Discord community is active for support."
,,
Maintainability,What is the current version number? (number),9.0.1
Maintainability,"Is there any information on how code is reviewed, or how to contribute? (yes∗, no)",yes
Maintainability,"Are artifacts available? (List every type of file that is not a code file – for examples please look at the 'Artifact Name' column of https://gitlab.cas.mcmaster.ca/SEforSC/se4sc/-/blob/git-svn/GradStudents/Olu/ResearchProposal/Artifacts_MiningV3.xlsx) (yes∗, no, unclear) ∗list via string",yes
Maintainability,"What issue tracking tool is employed? (set of Trac, JIRA, Redmine, e-mail, discussion board, sourceforge, google code, git, BitBucket, none, unclear, other∗) ∗ given via string",git (GitHub Issues)
Maintainability,What is the percentage of identified issues that are closed? (percentage),68%
Maintainability,What percentage of code is comments? (percentage),13%
Maintainability,"Which version control system is in use? (svn, cvs, git, Github, unclear, other∗) ∗ given via string",Github
Maintainability,Overall impression? (1 .. 10),8
Maintainability,"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)",Steadily maintained with major version releases roughly annually. NSF and US Army funding continuity ensures long-term maintenance. UW-Madison SBEL lab has graduate student continuity for development.
,,
Reusability,"How many code files are there? ( (0-9=0, 10-49=1, 50-99=3, 100-299=4, 300-599=5, 600-999=6, 1000+=8))",8
Reusability,"Is API documented? (yes, no, n/a)",yes
Reusability,Overall impression? (1 .. 10),7
Reusability,"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)","BSD-3 license enables commercial use. CMake integration for embedding in other projects. PyChrono enables Python integration. Used by automotive companies, defense (US Army), and space agencies for digital twin simulation."
,,
Surface Understandability (Based on 10 random source files),"Consistent indentation and formatting style? (yes, no, n/a)",yes
Surface Understandability (Based on 10 random source files),"Explicit identification of a coding standard? (yes∗, no, n/a)",yes
Surface Understandability (Based on 10 random source files),"Are the code identifiers consistent, distinctive, and meaningful? (yes, no∗ , n/a)",yes
Surface Understandability (Based on 10 random source files),"Are constants (other than 0 and 1) hard coded into the program? (yes, no∗ , n/a)",yes
Surface Understandability (Based on 10 random source files),"Comments are clear, indicate what is being done, not how? (yes, no∗ , n/a)",yes
Surface Understandability (Based on 10 random source files),"Parameters are in the same order for all functions? (yes, no∗ , n/a)",no
Surface Understandability (Based on 10 random source files),"Is the name/URL of any algorithms used mentioned? (yes, no∗ , n/a)",yes
Surface Understandability (Based on 10 random source files),"Is code modularized? (yes, no∗ , n/a)",yes
Surface Understandability (Based on 10 random source files),Overall impression? (1 .. 10),7
Surface Understandability (Based on 10 random source files),"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)","Well-organized modular structure. Each module (MBS, Vehicle, FEA, etc.) is self-contained. Physics domain knowledge required to fully understand advanced modules. Demo programs effectively illustrate each feature area."
,,
Visibility/Transparency,"Is the development process defined? If yes, what process is used. (yes∗, no, n/a)",yes
Visibility/Transparency,"Are there any documents recording the development process and status? (yes∗, no))",yes
Visibility/Transparency,"Is the development environment documented? (yes∗, no)",yes
Visibility/Transparency,"Are there release notes? (yes∗, no)",yes
Visibility/Transparency,Overall impression? (1 .. 10),8
