Section,Metric,AllowedValues/Notes
Summary Information,Software name? (string),string
Summary Information,URL? (URL),URL
Summary Information,Affiliation (institution(s)) (string or N/A),string or N/A
Summary Information,Software purpose (string),string
Summary Information,Number of developers (all developers that have contributed at least one commit to the project) (use repo commit logs) (number),number
Summary Information,"How is the project funded? (unfunded, unclear, funded∗) where ∗ requires a string to say the source of funding","unfunded, unclear, funded∗"
Summary Information,Initial release date? (date),date
Summary Information,Last commit date? (date),date
Summary Information,Status? (alive is defined as presence of commits in the last 18 months) (alive, dead, unclear),"alive, dead, unclear"
Summary Information,"License? (GNU GPL, BSD, MIT, terms of use, trial, none, unclear, other∗) ∗ given via a string","GNU GPL, BSD, MIT, terms of use, trial, none, unclear, other∗"
Summary Information,"Platforms? (set of Windows, Linux, OS X, Android, other∗) ∗ given via string","set of Windows, Linux, OS X, Android, other∗"
Summary Information,"Software Category? The concept category includes software that does not have an officially released version. Public software has a released version in the public domain. Private software has a released version available to authorized users only. (concept, public, private)","concept, public, private"
Summary Information,"Development model? (open source, freeware, commercial, unclear)","open source, freeware, commercial, unclear"
Summary Information,Publications about the software? Refers to publications that have used or mentioned the software. (number or unknown),number or unknown
Summary Information,"Source code URL? (set of url, n/a, unclear)","set of url, n/a, unclear"
Summary Information,"Programming language(s)? (set of FORTRAN, Matlab, C, C++, Java, R, Ruby, Python, Cython, BASIC, Pascal, IDL, unclear, other∗) ∗ given via string","set of FORTRAN, Matlab, C, C++, Java, R, Ruby, Python, Cython, BASIC, Pascal, IDL, unclear, other∗"
Summary Information,"Is there evidence that performance was considered? Performance refers to either speed, storage, or throughput. (yes∗, no)","yes∗, no"
Summary Information,Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have),free text
,
Installability (Measured via installation on a virtual machine.),Are there installation instructions? (yes, no),"yes, no"
Installability (Measured via installation on a virtual machine.),"Are the installation instructions in one place? Place referring to a single document or web-page. (yes, no, n/a)","yes, no, n/a"
Installability (Measured via installation on a virtual machine.),"Are the installation instructions linear? Linear meaning progressing in a single series of steps. (yes, no, n/a)","yes, no, n/a"
Installability (Measured via installation on a virtual machine.),"Are the instructions written as if the person doing the installation has none of the dependent packages installed? (yes, no, unclear)","yes, no, unclear"
Installability (Measured via installation on a virtual machine.),"Are compatible operating system versions listed? (yes, no)","yes, no"
Installability (Measured via installation on a virtual machine.),"Is there something in place to automate the installation (makefile, script, installer, etc)? (yes∗, no)","yes∗, no"
Installability (Measured via installation on a virtual machine.),"If the software installation broke, was a descriptive error message displayed? (yes, no, n/a)","yes, no, n/a"
Installability (Measured via installation on a virtual machine.),"Is there a specified way to validate the installation? (yes∗, no)","yes∗, no"
Installability (Measured via installation on a virtual machine.),"How many steps were involved in the installation? (Includes manual steps like unzipping files) Specify OS. (number, OS)","number, OS"
Installability (Measured via installation on a virtual machine.),"What OS was used for the installation? (Windows, Linux, OS X, Android, other∗ ) ∗given via string","Windows, Linux, OS X, Android, other∗"
Installability (Measured via installation on a virtual machine.),How many extra software packages need to be installed before or during installation? (number),number
Installability (Measured via installation on a virtual machine.),"Are required package versions listed? (yes, no, n/a)","yes, no, n/a"
Installability (Measured via installation on a virtual machine.),"Are there instructions for the installation of required packages / dependencies? (yes, no, n/a)","yes, no, n/a"
Installability (Measured via installation on a virtual machine.),"Run uninstall, if available. Were any obvious problems caused? (yes∗ , no, unavail)","yes∗, no, unavail"
Installability (Measured via installation on a virtual machine.),Overall impression? (1 .. 10),1 .. 10
Installability (Measured via installation on a virtual machine.),Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have),free text
,
Correctness and Verifiability,"Any reference to the requirements specifications of the program or theory manuals? (yes∗ , no, unclear)","yes∗, no, unclear"
Correctness and Verifiability,"What tools or techniques are used to build confidence of correctness? (literate programming, automated testing, symbolic execution, model checking, assertions used in the code, Sphinx, Doxygen, Javadoc, confluence, unclear, other∗) ∗ given via string","literate programming, automated testing, symbolic execution, model checking, assertions used in the code, Sphinx, Doxygen, Javadoc, confluence, unclear, other∗"
Correctness and Verifiability,"If there is a getting started tutorial? (yes, no)","yes, no"
Correctness and Verifiability,"Are the tutorial instructions linear? (yes, no, n/a)","yes, no, n/a"
Correctness and Verifiability,"Does the getting started tutorial provide an expected output? (yes, no∗, n/a)","yes, no∗, n/a"
Correctness and Verifiability,"Does your tutorial output match the expected output? (yes, no, n/a)","yes, no, n/a"
Correctness and Verifiability,"Are unit tests available? (yes, no, unclear)","yes, no, unclear"
Correctness and Verifiability,"Is there evidence of continuous integration? (for example mentioned in documentation, Jenkins, Travis CI, Bamboo, other) (yes∗, no, unclear)","yes∗, no, unclear"
Correctness and Verifiability,Overall impression? (1 .. 10),1 .. 10
Correctness and Verifiability,Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have),free text
,
Surface Reliability,"Did the software ""break"" during installation? (yes∗ , no)","yes∗, no"
Surface Reliability,"If the software installation broke, was the installation instance recoverable? (yes, no, n/a)","yes, no, n/a"
Surface Reliability,"Did the software ""break"" during the initial tutorial testing? (yes∗, no, n/a)","yes∗, no, n/a"
Surface Reliability,"If the tutorial testing broke, was a descriptive error message displayed? (yes, no, n/a)","yes, no, n/a"
