Section,Metric,Response
Summary Information,Software name? (string),OROCOS (Open RObot COntrol Software)
Summary Information,URL? (URL),https://www.orocos.org
Summary Information,Affiliation (institution(s)) (string or N/A),"KU Leuven / PMA Division, Belgium; founded by Herman Bruyninckx (KU Leuven, December 2000); initial implementation by Peter Soetens (PhD student KU Leuven); copyright shared by 20+ contributors internationally"
Summary Information,Software purpose (string),"Open-source C++ framework for real-time robot control; major components: Real-Time Toolkit (RTT) for component-based hard real-time software; Kinematics and Dynamics Library (KDL) for serial chain kinematics; Bayesian Filtering Library (BFL); Orocos Component Library (OCL)"
Summary Information,Number of developers (all developers that have contributed at least one commit to the project) (use repo commit logs) (number),20+ (copyright shared by 20+ contributors; contributions from KU Leuven, Willow Garage, TU Delft, and international community)
Summary Information,"How is the project funded? (unfunded, unclear, funded∗) where ∗ requires a string to say the source of funding","unclear (historically: KU Leuven institutional support, EU and Belgian national research grants; current status unclear)"
Summary Information,Initial release date? (date),"December 2000 (project conceived); first OROCOS major release September 2003; KDL originated circa 2005"
Summary Information,Last commit date? (date),2024-06 (orocos_kinematics_dynamics KDL repository; KDL maintained; RTT less active)
Summary Information,Status? (alive is defined as presence of commits in the last 18 months) (alive, dead, unclear),alive
Summary Information,"License? (GNU GPL, BSD, MIT, terms of use, trial, none, unclear, other∗) ∗ given via a string","other (LGPL for KDL and OCL; GPL with runtime exception for RTT and BFL; documentation under GNU FDL)"
Summary Information,"Platforms? (set of Windows, Linux, OS X, Android, other∗) ∗ given via string","Windows, Linux"
Summary Information,"Software Category? The concept category includes software that does not have an officially released version. Public software has a released version in the public domain. Private software has a released version available to authorized users only. (concept, public, private)",public
Summary Information,"Development model? (open source, freeware, commercial, unclear)",open source
Summary Information,Publications about the software? Refers to publications that have used or mentioned the software. (number or unknown),unknown (Bruyninckx 2001 IEEE ICRA paper; KDL widely cited through ROS robot_state_publisher usage)
Summary Information,"Source code URL? (set of url, n/a, unclear)","https://github.com/orocos/orocos_kinematics_dynamics (KDL); https://github.com/orocos-toolchain (RTT)"
Summary Information,"Programming language(s)? (set of FORTRAN, Matlab, C, C++, Java, R, Ruby, Python, Cython, BASIC, Pascal, IDL, unclear, other∗) ∗ given via string","C++, Python (PyKDL Python bindings)"
Summary Information,"Is there evidence that performance was considered? Performance refers to either speed, storage, or throughput. (yes∗, no)","yes (RTT designed for hard real-time control; KDL optimized for kinematics in embedded and real-time contexts)"
Summary Information,Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have),"OROCOS is one of the oldest open-source real-time robot control frameworks. KDL became the standard kinematic chain library in ROS 1. ROS robot_state_publisher, trac-ik, and many ROS IK plugins build on KDL. LGPL/GPL runtime exception license was chosen to allow C++ template use without GPL contamination."
,
Installability (Measured via installation on a virtual machine.),Are there installation instructions? (yes, no),yes
Installability (Measured via installation on a virtual machine.),"Are the installation instructions in one place? Place referring to a single document or web-page. (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Are the installation instructions linear? Linear meaning progressing in a single series of steps. (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Are the instructions written as if the person doing the installation has none of the dependent packages installed? (yes, no, unclear)",yes
Installability (Measured via installation on a virtual machine.),"Are compatible operating system versions listed? (yes, no)",yes (Ubuntu 20.04/22.04; ROS-based install path documented)
Installability (Measured via installation on a virtual machine.),"Is there something in place to automate the installation (makefile, script, installer, etc)? (yes∗, no)","yes (sudo apt install liborocos-kdl-dev; sudo apt install ros-humble-kdl-parser via ROS; CMake for source build)"
Installability (Measured via installation on a virtual machine.),"If the software installation broke, was a descriptive error message displayed? (yes, no, n/a)",n/a (installation completed successfully for KDL)
Installability (Measured via installation on a virtual machine.),"Is there a specified way to validate the installation? (yes∗, no)","yes (python3 -c 'import PyKDL; print(\"PyKDL OK\")'; run ctest in build directory)"
Installability (Measured via installation on a virtual machine.),"How many steps were involved in the installation? (Includes manual steps like unzipping files) Specify OS. (number, OS)","4, Linux (Ubuntu 22.04) (1: sudo apt install liborocos-kdl-dev python3-pykdl; 2: verify PyKDL import; 3: clone tutorial examples; 4: run KDL chain tutorial)"
Installability (Measured via installation on a virtual machine.),"What OS was used for the installation? (Windows, Linux, OS X, Android, other∗ ) ∗given via string",Linux (Ubuntu 22.04 LTS)
Installability (Measured via installation on a virtual machine.),How many extra software packages need to be installed before or during installation? (number),2 (libeigen3-dev, python3; typically already installed)
Installability (Measured via installation on a virtual machine.),"Are required package versions listed? (yes, no, n/a)",yes (Eigen3 and Boost versions documented for source builds)
Installability (Measured via installation on a virtual machine.),"Are there instructions for the installation of required packages / dependencies? (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Run uninstall, if available. Were any obvious problems caused? (yes∗ , no, unavail)",no (sudo apt remove liborocos-kdl-dev removes cleanly)
Installability (Measured via installation on a virtual machine.),Overall impression? (1 .. 10),7
Installability (Measured via installation on a virtual machine.),Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have),"KDL installation via apt is simple. RTT source build is more complex. Documentation is fragmented across orocos.org and multiple GitHub repositories. Most users install KDL via ROS packages."
,
Correctness and Verifiability,"Any reference to the requirements specifications of the program or theory manuals? (yes∗ , no, unclear)","yes (orocos.org documentation; Bruyninckx et al. ICRA 2001 paper; KDL chain documentation)"
Correctness and Verifiability,"What tools or techniques are used to build confidence of correctness? (literate programming, automated testing, symbolic execution, model checking, assertions used in the code, Sphinx, Doxygen, Javadoc, confluence, unclear, other∗) ∗ given via string","automated testing, Doxygen (API documentation)"
Correctness and Verifiability,"If there is a getting started tutorial? (yes, no)",yes
Correctness and Verifiability,"Are the tutorial instructions linear? (yes, no, n/a)",yes
Correctness and Verifiability,"Does the getting started tutorial provide an expected output? (yes, no∗, n/a)","yes (FK/IK tutorial shows expected joint positions)"
Correctness and Verifiability,"Does your tutorial output match the expected output? (yes, no, n/a)",yes
Correctness and Verifiability,"Are unit tests available? (yes, no, unclear)",yes (CTest suite in kdl/tests)
Correctness and Verifiability,"Is there evidence of continuous integration? (for example mentioned in documentation, Jenkins, Travis CI, Bamboo, other) (yes∗, no, unclear)","yes (GitHub Actions for KDL; ROS build farm integration)"
Correctness and Verifiability,Overall impression? (1 .. 10),7
Correctness and Verifiability,Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have),"KDL FK/IK correctness well-verified through massive deployment in ROS robots. RTT real-time correctness more complex to formally verify."
,
Surface Reliability,"Did the software ""break"" during installation? (yes∗ , no)",no
Surface Reliability,"If the software installation broke, was the installation instance recoverable? (yes, no, n/a)",n/a
Surface Reliability,"Did the software ""break"" during the initial tutorial testing? (yes∗, no, n/a)",no
Surface Reliability,"If the tutorial testing broke, was a descriptive error message displayed? (yes, no, n/a)",n/a
Surface Reliability,"If the tutorial testing broke, was the tutorial testing instance recoverable? (yes, no, n/a)",n/a
Surface Reliability,Overall impression? (1 .. 10),7
Surface Reliability,Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have),"KDL is highly reliable given its use as the core kinematics library in thousands of ROS robots. RTT requires correct POSIX RT kernel configuration for stability."
,
Surface Robustness,"Does the software handle unexpected/unanticipated input (like data of the wrong type, empty input, missing files or links) reasonably? (a reasonable response can include an appropriate error message.) (yes, no∗ )","yes (KDL uses return codes for singular configurations and joint limit violations; RTT raises exceptions for invalid component configurations)"
