Section,Metric,Response
Summary Information,Software name? (string),CARLA (CAR Learning to Act)
Summary Information,URL? (URL),https://carla.org
Summary Information,Affiliation (institution(s)) (string or N/A),"Computer Vision Center (CVC), Universitat Autònoma de Barcelona / Universitat Politècnica de Catalunya (UPC), Barcelona; Intel Labs; Embodied AI Foundation; collaborative open-source community"
Summary Information,Software purpose (string),"Open-source autonomous driving simulator built on Unreal Engine; provides photorealistic urban environments, accurate physics, and a comprehensive sensor suite (cameras, LiDAR, radar, IMU, GPS) for developing, training, and validating autonomous driving systems and AI agents"
Summary Information,Number of developers (all developers that have contributed at least one commit to the project) (use repo commit logs) (number),~120 (GitHub contributors across carla-simulator/carla; active contributors from CVC, Intel Labs, and broader community)
Summary Information,"How is the project funded? (unfunded, unclear, funded∗) where ∗ requires a string to say the source of funding","funded (Intel Labs as founding sponsor; Computer Vision Center; Embodied AI Foundation; additional sponsors from automotive and AI industry)"
Summary Information,Initial release date? (date),"November 2017 (first public release at CoRL 2017; project began 2016 at CVC Barcelona)"
Summary Information,Last commit date? (date),2025-02 (actively developed; CARLA 0.10.0 released December 19, 2024)
Summary Information,Status? (alive is defined as presence of commits in the last 18 months) (alive, dead, unclear),alive
Summary Information,"License? (GNU GPL, BSD, MIT, terms of use, trial, none, unclear, other∗) ∗ given via a string","MIT (code license MIT; custom CARLA content license for assets)"
Summary Information,"Platforms? (set of Windows, Linux, OS X, Android, other∗) ∗ given via string","Windows, Linux"
Summary Information,"Software Category? The concept category includes software that does not have an officially released version. Public software has a released version in the public domain. Private software has a released version available to authorized users only. (concept, public, private)",public
Summary Information,"Development model? (open source, freeware, commercial, unclear)",open source
Summary Information,Publications about the software? Refers to publications that have used or mentioned the software. (number or unknown),unknown (seminal paper Dosovitskiy et al. CoRL 2017 has thousands of citations; one of the most widely used autonomous driving simulators in academia and industry)
Summary Information,"Source code URL? (set of url, n/a, unclear)",https://github.com/carla-simulator/carla
Summary Information,"Programming language(s)? (set of FORTRAN, Matlab, C, C++, Java, R, Ruby, Python, Cython, BASIC, Pascal, IDL, unclear, other∗) ∗ given via string","C++, Python, other (Unreal Engine Blueprint scripting)"
Summary Information,"Is there evidence that performance was considered? Performance refers to either speed, storage, or throughput. (yes∗, no)","yes (designed for real-time photorealistic simulation at high frame rates; GPU-accelerated rendering; UE5 upgrade in v0.10.0 for improved raytracing performance)"
Summary Information,Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have),"CARLA (CAR Learning to Act) is one of the most popular autonomous driving simulators globally. Founded in 2016 at the CVC with Intel Labs support; first presented at CoRL 2017. Originally built on Unreal Engine 4; CARLA 0.10.0 (December 2024) migrated to Unreal Engine 5.5. Has an annual CARLA CVPR Autonomous Driving Grand Challenge. Python client API enables scripted scenarios. ScenarioRunner and CARLA-ROS-Bridge are major ecosystem tools."
,
Installability (Measured via installation on a virtual machine.),Are there installation instructions? (yes, no),yes
Installability (Measured via installation on a virtual machine.),"Are the installation instructions in one place? Place referring to a single document or web-page. (yes, no, n/a)",yes
