Section,Metric,Response
Summary Information,Software name? (string),MuJoCo
Summary Information,URL? (URL),https://mujoco.org
Summary Information,Affiliation (institution(s)) (string or N/A),Google DeepMind (acquired October 2021); originally developed at University of Washington Movement Control Lab by Emanuel Todorov; commercialized by Roboti LLC
Summary Information,Software purpose (string),"General-purpose physics simulator for research and development in robotics, biomechanics, graphics and animation, and machine learning requiring fast and accurate simulation of articulated structures"
Summary Information,Number of developers (all developers that have contributed at least one commit to the project) (use repo commit logs) (number),99
Summary Information,"How is the project funded? (unfunded, unclear, funded∗) where ∗ requires a string to say the source of funding",funded
Summary Information,Initial release date? (date),2012
Summary Information,Last commit date? (date),2025-02
Summary Information,"Status? (alive is defined as presence of commits in the last 18 months) (alive, dead, unclear)",alive
Summary Information,"License? (GNU GPL, BSD, MIT, terms of use, trial, none, unclear, other∗) ∗ given via a string",other
Summary Information,"Platforms? (set of Windows, Linux, OS X, Android, other∗) ∗ given via string","Windows, Linux, OS X"
Summary Information,"Software Category? The concept category includes software that does not have an officially released version. Public software has a released version in the public domain. Private software has a released version available to authorized users only. (concept, public, private)",public
Summary Information,"Development model? (open source, freeware, commercial, unclear)",open source
Summary Information,Publications about the software? Refers to publications that have used or mentioned the software. (number or unknown),1
Summary Information,"Source code URL? (set of url, n/a, unclear)",https://github.com/google-deepmind/mujoco
Summary Information,"Programming language(s)? (set of FORTRAN, Matlab, C, C++, Java, R, Ruby, Python, Cython, BASIC, Pascal, IDL, unclear, other∗) ∗ given via string","C++, C, Python, other (C# for Unity plugin; Jupyter Notebook for tutorials)"
Summary Information,"Is there evidence that performance was considered? Performance refers to either speed, storage, or throughput. (yes∗, no)",yes
Summary Information,"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)","Originally developed at University of Washington Movement Control Lab by Emanuel Todorov, Tom Erez, and Yuval Tassa (2012). Commercialized by Roboti LLC. Acquired by Google DeepMind in October 2021; made freely available then open-sourced under Apache-2.0 in May 2022. Industry-standard physics engine for reinforcement learning research."
,,
