Section,Metric,Response
Summary Information,Software name? (string),Newton Dynamics
Summary Information,URL? (URL),http://newtondynamics.com
Summary Information,Affiliation (institution(s)) (string or N/A),Independent open-source project; primary developer: Julio Jerez; co-developer: Alain Suero (original co-author); community contributions via GitHub
Summary Information,Software purpose (string),"High-performance physics simulation engine for games and interactive applications; provides rigid body dynamics, collision detection, soft bodies, vehicle dynamics, and articulated rigid bodies; optimized for real-time deterministic simulation with exact arithmetic; provides Newtonian dynamics solver with an exact implicit solver for rigid body integrations; widely used in game development and robotics simulation"
Summary Information,Number of developers (all developers that have contributed at least one commit to the project) (use repo commit logs) (number),15
Summary Information,"How is the project funded? (unfunded, unclear, funded∗) where ∗ requires a string to say the source of funding",unclear
Summary Information,Initial release date? (date),2003
Summary Information,Last commit date? (date),2024-06
Summary Information,"Status? (alive is defined as presence of commits in the last 18 months) (alive, dead, unclear)",alive
Summary Information,"License? (GNU GPL, BSD, MIT, terms of use, trial, none, unclear, other∗) ∗ given via a string",other
Summary Information,"Platforms? (set of Windows, Linux, OS X, Android, other∗) ∗ given via string","Windows, Linux, OS X, Android"
Summary Information,"Software Category? The concept category includes software that does not have an officially released version. Public software has a released version in the public domain. Private software has a released version available to authorized users only. (concept, public, private)",public
Summary Information,"Development model? (open source, freeware, commercial, unclear)",open source
Summary Information,Publications about the software? Refers to publications that have used or mentioned the software. (number or unknown),unknown
Summary Information,"Source code URL? (set of url, n/a, unclear)",https://github.com/JulioJerez/newton-dynamics
Summary Information,"Programming language(s)? (set of FORTRAN, Matlab, C, C++, Java, R, Ruby, Python, Cython, BASIC, Pascal, IDL, unclear, other∗) ∗ given via string","C++, C"
Summary Information,"Is there evidence that performance was considered? Performance refers to either speed, storage, or throughput. (yes∗, no)",yes
Summary Information,"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)","Newton Dynamics is notable for its deterministic exact arithmetic solver, which distinguishes it from other game physics engines like Bullet and PhysX. The v4.x rewrite modernized the codebase significantly (C++17, new parallel solver). The original MADEAPPS/newton-dynamics GitHub repository (~1k stars) has been deprecated in favor of JulioJerez/newton-dynamics. Integrated in Gazebo as an optional physics engine. Used in commercial games and robotics simulations. The zlib license is very permissive (even more permissive than MIT for commercial use)."
,,
Installability (Measured via installation on a virtual machine.),"Are there installation instructions? (yes, no)",yes
Installability (Measured via installation on a virtual machine.),"Are the installation instructions in one place? Place referring to a single document or web-page. (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Are the installation instructions linear? Linear meaning progressing in a single series of steps. (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Are the instructions written as if the person doing the installation has none of the dependent packages installed? (yes, no, unclear)",yes
Installability (Measured via installation on a virtual machine.),"Are compatible operating system versions listed? (yes, no)",yes
Installability (Measured via installation on a virtual machine.),"Is there something in place to automate the installation (makefile, script, installer, etc)? (yes∗, no)",yes
Installability (Measured via installation on a virtual machine.),"If the software installation broke, was a descriptive error message displayed? (yes, no, n/a)",n/a
Installability (Measured via installation on a virtual machine.),"Is there a specified way to validate the installation? (yes∗, no)",yes
Installability (Measured via installation on a virtual machine.),"How many steps were involved in the installation? (Includes manual steps like unzipping files) Specify OS. (number, OS)","6, Linux"
Installability (Measured via installation on a virtual machine.),"What OS was used for the installation? (Windows, Linux, OS X, Android, other∗ ) ∗given via string",Linux
Installability (Measured via installation on a virtual machine.),How many extra software packages need to be installed before or during installation? (number),3
Installability (Measured via installation on a virtual machine.),"Are required package versions listed? (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Are there instructions for the installation of required packages / dependencies? (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Run uninstall, if available. Were any obvious problems caused? (yes∗ , no, unavail)",no
Installability (Measured via installation on a virtual machine.),Overall impression? (1 .. 10),6
Installability (Measured via installation on a virtual machine.),"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)",Standard CMake build for a physics library. No prebuilt binaries for Linux (Windows has prebuilt DLLs). Documentation adequate but less polished than commercially-backed projects. 6-step source build is typical for C++ physics libraries.
,,
Correctness and Verifiability,"Any reference to the requirements specifications of the program or theory manuals? (yes∗ , no, unclear)",yes
Correctness and Verifiability,"What tools or techniques are used to build confidence of correctness? (literate programming, automated testing, symbolic execution, model checking, assertions used in the code, Sphinx, Doxygen, Javadoc, confluence, unclear, other∗) ∗ given via string","automated testing, Doxygen (API documentation), assertions used in the code"
Correctness and Verifiability,"If there is a getting started tutorial? (yes, no)",yes
Correctness and Verifiability,"Are the tutorial instructions linear? (yes, no, n/a)",yes
Correctness and Verifiability,"Does the getting started tutorial provide an expected output? (yes, no∗, n/a)",yes
Correctness and Verifiability,"Does your tutorial output match the expected output? (yes, no, n/a)",yes
Correctness and Verifiability,"Are unit tests available? (yes, no, unclear)",yes
Correctness and Verifiability,"Is there evidence of continuous integration? (for example mentioned in documentation, Jenkins, Travis CI, Bamboo, other) (yes∗, no, unclear)",no
Correctness and Verifiability,Overall impression? (1 .. 10),5
Correctness and Verifiability,"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)",Physics correctness implicitly validated through use in commercial games and robotics. Deterministic exact arithmetic solver is the primary correctness guarantee. Absence of CI is a weakness for tracking regressions.
,,
Surface Reliability,"Did the software ""break"" during installation? (yes∗ , no)",no
Surface Reliability,"If the software installation broke, was the installation instance recoverable? (yes, no, n/a)",n/a
Surface Reliability,"Did the software ""break"" during the initial tutorial testing? (yes∗, no, n/a)",no
Surface Reliability,"If the tutorial testing broke, was a descriptive error message displayed? (yes, no, n/a)",n/a
Surface Reliability,"If the tutorial testing broke, was the tutorial testing instance recoverable? (yes, no, n/a)",n/a
Surface Reliability,Overall impression? (1 .. 10),6
Surface Reliability,"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)",20+ years of commercial game use provides industry-level reliability validation. Core rigid body simulation is very stable. v4.x rewrite introduced some rough edges that are being smoothed in ongoing development.
,,
Surface Robustness,"Does the software handle unexpected/unanticipated input (like data of the wrong type, empty input, missing files or links) reasonably? (a reasonable response can include an appropriate error message.) (yes, no∗ )",yes
Surface Robustness,"For any plain text input files, if all new lines are replaced with new lines and carriage returns, will the software handle this gracefully? (yes, no∗, n/a)",yes
Surface Robustness,Overall impression? (1 .. 10),6
Surface Robustness,"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)",Error handling functional but less comprehensive than professionally-maintained scientific libraries. Core physics solver robustness is excellent given decades of game industry validation.
,,
Surface Usability,"Is there a getting started tutorial? (yes, no)",yes
Surface Usability,"Is there a user manual? (yes, no)",yes
Surface Usability,"Are expected user characteristics documented? (yes, no)",no
Surface Usability,What is the user support model? FAQ? User forum? E-mail address to direct questions? Etc. (string),"GitHub Issues (JulioJerez/newton-dynamics), newtondynamics.com forum (historical), GitHub Discussions"
Surface Usability,Overall impression? (1 .. 10),5
Surface Usability,"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)",Documentation has declined from v3.x era. newtondynamics.com forum had active community; GitHub Discussions are less active. API documentation adequate but tutorial content sparse for v4.x series.
,,
Maintainability,What is the current version number? (number),4.02
Maintainability,"Is there any information on how code is reviewed, or how to contribute? (yes∗, no)",yes
Maintainability,"Are artifacts available? (List every type of file that is not a code file – for examples please look at the 'Artifact Name' column of https://gitlab.cas.mcmaster.ca/SEforSC/se4sc/-/blob/git-svn/GradStudents/Olu/ResearchProposal/Artifacts_MiningV3.xlsx) (yes∗, no, unclear) ∗list via string",yes
