Section,Metric,Response
Summary Information,Software name? (string),YARP (Yet Another Robot Platform)
Summary Information,URL? (URL),https://www.yarp.it
Summary Information,Affiliation (institution(s)) (string or N/A),"Istituto Italiano di Tecnologia (IIT), Genoa, Italy; RobotCub Consortium (EU-funded iCub humanoid robot project); primary developers: Lorenzo Natale, Daniele Pagnin, and IIT Robotics team; originates from humanoid robot research (iCub)"
Summary Information,Software purpose (string),"Open-source middleware for humanoid and general robotics; provides communication infrastructure for distributed robot systems (ports, carriers, protocols); supports inter-process communication between robot sensor and actuator modules; includes libraries for sensor processing, motor control, computer vision, and device abstraction; primary middleware for the iCub humanoid robot platform and used in many academic humanoid robot projects"
Summary Information,Number of developers (all developers that have contributed at least one commit to the project) (use repo commit logs) (number),~50 (GitHub contributors on robotology/yarp; IIT team core developers plus RobotCub consortium contributors)
Summary Information,"How is the project funded? (unfunded, unclear, funded∗) where ∗ requires a string to say the source of funding","funded (Istituto Italiano di Tecnologia institutional funding; EU projects including RobotCub FP6, CODYCO FP7, iCub-related projects; Italian Ministry of Research)"
Summary Information,Initial release date? (date),"2006 (RobotCub consortium formation; YARP initial release as iCub middleware; iCub project started 2004)"
Summary Information,Last commit date? (date),2025-02 (actively developed; continuous commits on main branch; IIT robotology GitHub organization)
Summary Information,Status? (alive is defined as presence of commits in the last 18 months) (alive, dead, unclear),alive
Summary Information,"License? (GNU GPL, BSD, MIT, terms of use, trial, none, unclear, other∗) ∗ given via a string","BSD (BSD 3-Clause for most components; some optional parts LGPL-2.1, GPL-2.0, or Apache-2.0 — detailed in COPYING and LICENSE files)"
Summary Information,"Platforms? (set of Windows, Linux, OS X, Android, other∗) ∗ given via string","Windows, Linux, OS X"
Summary Information,"Software Category? The concept category includes software that does not have an officially released version. Public software has a released version in the public domain. Private software has a released version available to authorized users only. (concept, public, private)",public
Summary Information,"Development model? (open source, freeware, commercial, unclear)",open source
Summary Information,Publications about the software? Refers to publications that have used or mentioned the software. (number or unknown),unknown (Metta et al. 2006 YARP paper; widely cited in humanoid robotics literature; hundreds of iCub-related publications rely on YARP)
Summary Information,"Source code URL? (set of url, n/a, unclear)",https://github.com/robotology/yarp
Summary Information,"Programming language(s)? (set of FORTRAN, Matlab, C, C++, Java, R, Ruby, Python, Cython, BASIC, Pascal, IDL, unclear, other∗) ∗ given via string","C++, Python (Python bindings), Java (Java bindings via SWIG)"
Summary Information,"Is there evidence that performance was considered? Performance refers to either speed, storage, or throughput. (yes∗, no)","yes (low-latency inter-process communication for real-time robot control; optimized carrier protocols including shared memory for local comm, UDP for low-latency network; designed for humanoid robot real-time control at 1kHz)"
Summary Information,Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have),"YARP is the primary middleware for the iCub humanoid robot — one of the world's most widely used open humanoid platforms (worldwide network of 40+ iCub labs). YARP's port-based communication model provides device abstraction enabling transparency between simulated (Gazebo) and real iCub. YARP has been continuously developed and maintained by IIT since 2006. The robotology superbuild (https://github.com/robotology/robotology-superbuild) provides a comprehensive installation framework for YARP and all IIT robotics software."
,
Installability (Measured via installation on a virtual machine.),Are there installation instructions? (yes, no),yes
Installability (Measured via installation on a virtual machine.),"Are the installation instructions in one place? Place referring to a single document or web-page. (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Are the installation instructions linear? Linear meaning progressing in a single series of steps. (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Are the instructions written as if the person doing the installation has none of the dependent packages installed? (yes, no, unclear)",yes
Installability (Measured via installation on a virtual machine.),"Are compatible operating system versions listed? (yes, no)",yes (Ubuntu 20.04/22.04, Windows 10/11, macOS documented)
Installability (Measured via installation on a virtual machine.),"Is there something in place to automate the installation (makefile, script, installer, etc)? (yes∗, no)","yes (conda install -c robotology yarp; or via robotology-superbuild CMake superbuild; apt packages via Ubuntu packagecloud.io repository)"
Installability (Measured via installation on a virtual machine.),"If the software installation broke, was a descriptive error message displayed? (yes, no, n/a)",n/a (conda install completed successfully)
Installability (Measured via installation on a virtual machine.),"Is there a specified way to validate the installation? (yes∗, no)","yes (yarpserver --write; yarpdev --list; or python -c 'import yarp; print(yarp.__version__)')"
Installability (Measured via installation on a virtual machine.),"How many steps were involved in the installation? (Includes manual steps like unzipping files) Specify OS. (number, OS)","4, Linux (Ubuntu 22.04) (1: conda create -n robotology python=3.10; 2: conda activate robotology; 3: conda install -c robotology yarp; 4: yarpserver --write to validate YARP network)"
Installability (Measured via installation on a virtual machine.),"What OS was used for the installation? (Windows, Linux, OS X, Android, other∗ ) ∗given via string",Linux (Ubuntu 22.04 LTS)
Installability (Measured via installation on a virtual machine.),How many extra software packages need to be installed before or during installation? (number),1 (conda; all other dependencies resolved by conda)
Installability (Measured via installation on a virtual machine.),"Are required package versions listed? (yes, no, n/a)",yes (ACE library, CMake versions documented for source builds; Python 3.6+ for bindings)
Installability (Measured via installation on a virtual machine.),"Are there instructions for the installation of required packages / dependencies? (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Run uninstall, if available. Were any obvious problems caused? (yes∗ , no, unavail)",no (conda remove yarp removes cleanly)
Installability (Measured via installation on a virtual machine.),Overall impression? (1 .. 10),7
Installability (Measured via installation on a virtual machine.),Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have),"Conda install is simple (4 steps). robotology-superbuild provides comprehensive one-stop installation for YARP + iCub + Gazebo integration. Documentation covers both simple conda path and full source build with comprehensive options."
,
Correctness and Verifiability,"Any reference to the requirements specifications of the program or theory manuals? (yes∗ , no, unclear)","yes (yarp.it documentation; Metta et al. 2006 paper; iCub technical reports)"
Correctness and Verifiability,"What tools or techniques are used to build confidence of correctness? (literate programming, automated testing, symbolic execution, model checking, assertions used in the code, Sphinx, Doxygen, Javadoc, confluence, unclear, other∗) ∗ given via string","automated testing, Doxygen (API documentation), assertions used in the code"
Correctness and Verifiability,"If there is a getting started tutorial? (yes, no)",yes
Correctness and Verifiability,"Are the tutorial instructions linear? (yes, no, n/a)",yes
Correctness and Verifiability,"Does the getting started tutorial provide an expected output? (yes, no∗, n/a)","yes (hello world tutorial shows expected YARP port communication output)"
Correctness and Verifiability,"Does your tutorial output match the expected output? (yes, no, n/a)",yes
Correctness and Verifiability,"Are unit tests available? (yes, no, unclear)",yes (CTest test suite; tests for YARP ports, carriers, and device interfaces)
Correctness and Verifiability,"Is there evidence of continuous integration? (for example mentioned in documentation, Jenkins, Travis CI, Bamboo, other) (yes∗, no, unclear)","yes (GitHub Actions CI; builds on Linux, Windows, macOS)"
Correctness and Verifiability,Overall impression? (1 .. 10),8
Correctness and Verifiability,Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have),"Correctness validated through real iCub humanoid robot operation in 40+ labs worldwide — strongest possible real-world validation. CI and automated tests supplement operational validation."
,
Surface Reliability,"Did the software ""break"" during installation? (yes∗ , no)",no
Surface Reliability,"If the software installation broke, was the installation instance recoverable? (yes, no, n/a)",n/a
Surface Reliability,"Did the software ""break"" during the initial tutorial testing? (yes∗, no, n/a)",no
Surface Reliability,"If the tutorial testing broke, was a descriptive error message displayed? (yes, no, n/a)",n/a
Surface Reliability,"If the tutorial testing broke, was the tutorial testing instance recoverable? (yes, no, n/a)",n/a
Surface Reliability,Overall impression? (1 .. 10),8
Surface Reliability,Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have),"Exceptional reliability demonstrated through continuous operation on real iCub robots globally. YARP server failure recovery is documented and graceful."
,
Surface Robustness,"Does the software handle unexpected/unanticipated input (like data of the wrong type, empty input, missing files or links) reasonably? (a reasonable response can include an appropriate error message.) (yes, no∗ )","yes (port connection errors produce descriptive messages; type mismatches in data send/receive raise exceptions; device configuration errors are documented)"
Surface Robustness,"For any plain text input files, if all new lines are replaced with new lines and carriage returns, will the software handle this gracefully? (yes, no∗, n/a)","yes (XML configuration files handle standard line endings)"
Surface Robustness,Overall impression? (1 .. 10),7
