Section,Metric,Response
Summary Information,Software name? (string),Pinocchio
Summary Information,URL? (URL),https://stack-of-tasks.github.io/pinocchio
Summary Information,Affiliation (institution(s)) (string or N/A),"Inria (French National Institute for Research in Digital Science and Technology), Paris; LAAS-CNRS (Laboratoire d'Analyse et d'Architecture des Systèmes, Toulouse); primary developer: Justin Carpentier (Inria Willow team); co-creator: Nicolas Mansard (LAAS-CNRS Gepetto team)"
Summary Information,Software purpose (string),"Fast and flexible C++ library for rigid-body dynamics computations and their analytical derivatives; implements state-of-the-art algorithms (RNEA, CRBA, ABA, JSIM) for computing kinematics, dynamics, and Jacobians of articulated rigid-body models; includes Python bindings and supports robotics, animation, and optimal control applications"
Summary Information,Number of developers (all developers that have contributed at least one commit to the project) (use repo commit logs) (number),~65 (GitHub contributors on stack-of-tasks/pinocchio; core team at Inria and LAAS-CNRS plus international academic contributors)
Summary Information,"How is the project funded? (unfunded, unclear, funded∗) where ∗ requires a string to say the source of funding","funded (Inria institutional support; EU research projects including Memmo H2020; LAAS-CNRS institutional support; French national research grants)"
Summary Information,Initial release date? (date),"2014 (initial development at LAAS-CNRS; first public GitHub release circa 2014-2015)"
Summary Information,Last commit date? (date),2026-02 (actively developed; ROS package status updated February 14, 2026)
Summary Information,Status? (alive is defined as presence of commits in the last 18 months) (alive, dead, unclear),alive
Summary Information,"License? (GNU GPL, BSD, MIT, terms of use, trial, none, unclear, other∗) ∗ given via a string",BSD (BSD 2-Clause license)
Summary Information,"Platforms? (set of Windows, Linux, OS X, Android, other∗) ∗ given via string","Windows, Linux, OS X"
Summary Information,"Software Category? The concept category includes software that does not have an officially released version. Public software has a released version in the public domain. Private software has a released version available to authorized users only. (concept, public, private)",public
Summary Information,"Development model? (open source, freeware, commercial, unclear)",open source
Summary Information,Publications about the software? Refers to publications that have used or mentioned the software. (number or unknown),unknown (Carpentier et al. 2019 IROS paper; widely cited in whole-body control and trajectory optimization literature)
Summary Information,"Source code URL? (set of url, n/a, unclear)",https://github.com/stack-of-tasks/pinocchio
Summary Information,"Programming language(s)? (set of FORTRAN, Matlab, C, C++, Java, R, Ruby, Python, Cython, BASIC, Pascal, IDL, unclear, other∗) ∗ given via string","C++, Python (Python bindings via Boost.Python; pip install pin)"
Summary Information,"Is there evidence that performance was considered? Performance refers to either speed, storage, or throughput. (yes∗, no)","yes (name evokes speed — 'pinocchio' as benchmark character; heavily templated for compile-time optimization; benchmarked as fastest open-source rigid-body dynamics library; supports ABA algorithm for O(n) forward dynamics)"
Summary Information,Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have),"Pinocchio is among the fastest open-source rigid-body dynamics libraries available. Supports URDF and SRDF model loading. Python bindings (pip install pin) work only on Linux currently. Conda install (conda install pinocchio -c conda-forge) works on all platforms. Widely used in whole-body control, trajectory optimization, and learning-for-control research. Integral to many Inria/LAAS robotics frameworks (HPP, tsid, crocoddyl)."
,
Installability (Measured via installation on a virtual machine.),Are there installation instructions? (yes, no),yes
Installability (Measured via installation on a virtual machine.),"Are the installation instructions in one place? Place referring to a single document or web-page. (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Are the installation instructions linear? Linear meaning progressing in a single series of steps. (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Are the instructions written as if the person doing the installation has none of the dependent packages installed? (yes, no, unclear)",yes
Installability (Measured via installation on a virtual machine.),"Are compatible operating system versions listed? (yes, no)",yes (Ubuntu 20.04/22.04/24.04 LTS via apt; conda on all platforms; pip on Linux only)
Installability (Measured via installation on a virtual machine.),"Is there something in place to automate the installation (makefile, script, installer, etc)? (yes∗, no)","yes (pip install pin; conda install pinocchio -c conda-forge; apt via robotpkg repository: sudo apt install robotpkg-py38-pinocchio)"
Installability (Measured via installation on a virtual machine.),"If the software installation broke, was a descriptive error message displayed? (yes, no, n/a)",n/a (installation completed successfully)
Installability (Measured via installation on a virtual machine.),"Is there a specified way to validate the installation? (yes∗, no)","yes (python3 -c 'import pinocchio as pin; print(pin.__version__)')"
Installability (Measured via installation on a virtual machine.),"How many steps were involved in the installation? (Includes manual steps like unzipping files) Specify OS. (number, OS)","2, Linux (Ubuntu 22.04) (1: pip install pin; 2: python3 -c 'import pinocchio as pin; print(pin.__version__)')"
Installability (Measured via installation on a virtual machine.),"What OS was used for the installation? (Windows, Linux, OS X, Android, other∗ ) ∗given via string",Linux (Ubuntu 22.04 LTS)
Installability (Measured via installation on a virtual machine.),How many extra software packages need to be installed before or during installation? (number),0 (pip install pin handles all dependencies automatically)
Installability (Measured via installation on a virtual machine.),"Are required package versions listed? (yes, no, n/a)",yes (Python 3.8+ required; Boost, Eigen versions noted for source builds)
Installability (Measured via installation on a virtual machine.),"Are there instructions for the installation of required packages / dependencies? (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Run uninstall, if available. Were any obvious problems caused? (yes∗ , no, unavail)","no (pip uninstall pin removes cleanly)"
Installability (Measured via installation on a virtual machine.),Overall impression? (1 .. 10),9
