Section,Metric,Response
Summary Information,Software name? (string),Habitat-Sim
Summary Information,URL? (URL),https://aihabitat.org
Summary Information,Affiliation (institution(s)) (string or N/A),"Meta AI Research (FAIR — Fundamental AI Research); developed by Facebook AI Research; AI Habitat project part of FAIR's embodied AI research program led by researchers including Erik Wijmans, Abhishek Kadian, Amir Sadeghi, Claudia Perez-D'Arpino, and many others"
Summary Information,Software purpose (string),"Flexible, high-performance 3D simulator for embodied AI research; enables training and evaluation of embodied AI agents (virtual robots, navigation agents) in photorealistic 3D environments; provides efficient 3D scene rendering (Magnum renderer), dataset support (Matterport3D, Gibson, Replica, HM3D), and physics simulation via Bullet; companion to Habitat-Lab RL training framework"
Summary Information,Number of developers (all developers that have contributed at least one commit to the project) (use repo commit logs) (number),50
Summary Information,"How is the project funded? (unfunded, unclear, funded∗) where ∗ requires a string to say the source of funding",funded
Summary Information,Initial release date? (date),2019
Summary Information,Last commit date? (date),2026-01
Summary Information,"Status? (alive is defined as presence of commits in the last 18 months) (alive, dead, unclear)",alive
Summary Information,"License? (GNU GPL, BSD, MIT, terms of use, trial, none, unclear, other∗) ∗ given via a string",mit
Summary Information,"Platforms? (set of Windows, Linux, OS X, Android, other∗) ∗ given via string","Linux, OS X"
Summary Information,"Software Category? The concept category includes software that does not have an officially released version. Public software has a released version in the public domain. Private software has a released version available to authorized users only. (concept, public, private)",public
Summary Information,"Development model? (open source, freeware, commercial, unclear)",open source
Summary Information,Publications about the software? Refers to publications that have used or mentioned the software. (number or unknown),1
Summary Information,"Source code URL? (set of url, n/a, unclear)",https://github.com/facebookresearch/habitat-sim
Summary Information,"Programming language(s)? (set of FORTRAN, Matlab, C, C++, Java, R, Ruby, Python, Cython, BASIC, Pascal, IDL, unclear, other∗) ∗ given via string","C++, Python"
Summary Information,"Is there evidence that performance was considered? Performance refers to either speed, storage, or throughput. (yes∗, no)",yes
Summary Information,"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)","Habitat-Sim is designed specifically for embodied AI research at scale — enabling massive RL training with thousands of parallel simulation instances. Supports articulated object simulation (v0.2+), rearrangement tasks (v0.3), and multi-agent scenarios. The Habitat-Matterport 3D Dataset (HM3D) released alongside provides 1000 photorealistic indoor environments. Not primarily a robot dynamics simulator but widely used in embodied agent research. Companion to Habitat-Lab (reinforcement learning training framework)."
,,
Installability (Measured via installation on a virtual machine.),"Are there installation instructions? (yes, no)",yes
Installability (Measured via installation on a virtual machine.),"Are the installation instructions in one place? Place referring to a single document or web-page. (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Are the installation instructions linear? Linear meaning progressing in a single series of steps. (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Are the instructions written as if the person doing the installation has none of the dependent packages installed? (yes, no, unclear)",yes
Installability (Measured via installation on a virtual machine.),"Are compatible operating system versions listed? (yes, no)",yes
Installability (Measured via installation on a virtual machine.),"Is there something in place to automate the installation (makefile, script, installer, etc)? (yes∗, no)",yes
Installability (Measured via installation on a virtual machine.),"If the software installation broke, was a descriptive error message displayed? (yes, no, n/a)",n/a
Installability (Measured via installation on a virtual machine.),"Is there a specified way to validate the installation? (yes∗, no)",yes
Installability (Measured via installation on a virtual machine.),"How many steps were involved in the installation? (Includes manual steps like unzipping files) Specify OS. (number, OS)","4, Linux"
Installability (Measured via installation on a virtual machine.),"What OS was used for the installation? (Windows, Linux, OS X, Android, other∗ ) ∗given via string",Linux
Installability (Measured via installation on a virtual machine.),How many extra software packages need to be installed before or during installation? (number),1
Installability (Measured via installation on a virtual machine.),"Are required package versions listed? (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Are there instructions for the installation of required packages / dependencies? (yes, no, n/a)",yes
Installability (Measured via installation on a virtual machine.),"Run uninstall, if available. Were any obvious problems caused? (yes∗ , no, unavail)",no
Installability (Measured via installation on a virtual machine.),Overall impression? (1 .. 10),8
Installability (Measured via installation on a virtual machine.),"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)","Conda install is very simple (4 steps). Docker option further simplifies GPU environment setup. Excellent documentation including Docker-based quickstart, Colab notebooks, and conda install instructions. Some 3D datasets require separate download (multi-GB)."
,,
Correctness and Verifiability,"Any reference to the requirements specifications of the program or theory manuals? (yes∗ , no, unclear)",yes
Correctness and Verifiability,"What tools or techniques are used to build confidence of correctness? (literate programming, automated testing, symbolic execution, model checking, assertions used in the code, Sphinx, Doxygen, Javadoc, confluence, unclear, other∗) ∗ given via string","automated testing, Sphinx (Python documentation), other (Jupyter Notebook tutorials with expected outputs)"
Correctness and Verifiability,"If there is a getting started tutorial? (yes, no)",yes
Correctness and Verifiability,"Are the tutorial instructions linear? (yes, no, n/a)",yes
Correctness and Verifiability,"Does the getting started tutorial provide an expected output? (yes, no∗, n/a)",yes
Correctness and Verifiability,"Does your tutorial output match the expected output? (yes, no, n/a)",yes
Correctness and Verifiability,"Are unit tests available? (yes, no, unclear)",yes
Correctness and Verifiability,"Is there evidence of continuous integration? (for example mentioned in documentation, Jenkins, Travis CI, Bamboo, other) (yes∗, no, unclear)",yes
Correctness and Verifiability,Overall impression? (1 .. 10),8
Correctness and Verifiability,"Additional comments? (can cover any metrics you feel are missing, or any other thoughts you have)",Rendering correctness validated through visual benchmarks and comparison with real images. Physics correctness less critical (RL training task) compared to precision simulators. Strong FAIR engineering practices.
,,
Surface Reliability,"Did the software ""break"" during installation? (yes∗ , no)",no
